Rk,Player,WAR▼,IP,Place,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Pos,Player-additional
563,Butch Henry,-0.2,165.2,,1992,23,HOU,NL,6,9,.400,15,4.02,28,28,2,1,0,165.2,185,81,74,16,41,7,96,1,2,2,710,84,3.64,1.364,10.1,0.9,2.2,5.2,2.34,-0.2,-1.4,1,henrybu01
564,Colin Rea,-0.2,102.2,,2016,25,MIASDP,NL,5,5,.500,10,4.82,20,19,0,0,0,102.2,102,63,55,12,44,4,80,8,1,0,454,83,4.63,1.422,8.9,1.1,3.9,7.0,1.82,-0.2,-1.1,1/H,reaco01
565,Bob Wolcott,-0.3,149.1,,1996,22,SEA,AL,7,10,.412,17,5.73,30,28,1,0,0,149.1,179,101,95,26,54,5,78,7,1,3,672,87,5.62,1.560,10.8,1.6,3.3,4.7,1.44,-0.3,-1.7,,wolcobo01
566,Jesse Foppert,-0.3,111.0,,2003,22,SFG,NL,8,9,.471,17,5.03,23,21,0,0,0,111.0,103,69,62,16,69,4,101,3,0,12,500,84,5.03,1.550,8.4,1.3,5.6,8.2,1.46,-0.3,-1.1,1,foppeje01
567,Jimmy Jones,-0.3,145.2,,1987,23,SDP,NL,9,7,.563,16,4.14,30,22,2,1,0,145.2,154,85,67,14,54,2,51,5,2,3,639,96,4.64,1.428,9.5,0.9,3.3,3.2,0.94,-0.3,-1.6,1/H,jonesji02
568,Brian Meadows,-0.3,174.1,,1998,22,FLA,NL,11,13,.458,24,5.21,31,31,1,0,0,174.1,222,106,101,20,46,3,88,3,1,5,772,77,4.46,1.537,11.5,1.0,2.4,4.5,1.91,-0.3,-1.7,1,meadobr01
569,John Ely,-0.3,100.0,,2010,24,LAD,NL,4,10,.286,14,5.49,18,18,0,0,0,100.0,105,63,61,12,40,2,76,2,0,4,430,71,4.38,1.450,9.5,1.1,3.6,6.8,1.90,-0.3,-1.1,1,elyjo01
570,Doug Konieczny,-0.3,171.0,,1975,23,HOU,NL,6,13,.316,19,4.47,32,29,4,1,0,171.0,184,93,85,15,87,1,89,1,2,6,762,76,4.23,1.585,9.7,0.8,4.6,4.7,1.02,-0.3,-1.8,1,koniedo01
571,Bobby Witt,-0.4,157.2,,1986,22,TEX,AL,11,9,.550,20,5.48,31,31,0,0,0,157.2,130,104,96,18,143,2,174,3,3,22,741,79,4.83,1.732,7.4,1.0,8.2,9.9,1.22,-0.4,-1.8,,wittbo01
572,Tim Pugh,-0.4,164.1,,1993,26,CIN,NL,10,15,.400,25,5.26,31,27,3,1,0,164.1,200,102,96,19,59,1,94,7,2,3,738,76,4.55,1.576,11.0,1.0,3.2,5.1,1.59,-0.4,-1.7,1,pughti01
