Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
Carl Pavano,MON,5/23/98,9/11/98,-0.9,119.2,5,8,21,0.385,4.36,118,17,41,76,520,177,49,-3.2,1.1,pavanca01
Jim Parque,CHW,5/26/98,9/23/98,-0.9,113,7,5,21,0.583,5.1,135,14,49,77,507,196,44,-10.67,1.04,parquji01
Mark Mulder,OAK,4/18/00,8/10/00,-1,122,6,8,21,0.429,5.53,153,19,53,68,561,220,41,-13.56,0.91,muldema01
Taylor Buchholz,HOU,4/7/06,9/11/06,-1,112,6,10,19,0.375,5.95,107,21,34,77,476,152,46,-15.96,0.92,buchhta01
David Huff,CLE,5/17/09,9/12/09,-1.1,114.1,10,7,21,0.588,6.14,147,16,37,57,519,189,41,-14.4,1.01,huffda01
Jim Beattie,NYY,4/25/78,9/8/78,-1.1,104.2,4,7,18,0.364,3.7,105,8,41,51,455,157,49,-6.31,0.87,beattji01
Shawn Chacón,COL,4/29/01,8/22/01,-1.1,123.2,6,8,21,0.429,5.53,123,23,68,110,551,204,47,-10.56,0.93,chacosh01
Mike Witt,CAL,4/11/81,9/28/81,-1.1,120,7,9,20,0.438,3.38,113,9,44,70,515,174,52,-6.46,1.02,wittmi01
Mike Moore,SEA,1982-04-11 (2),8/20/82,-1.1,109.1,6,10,20,0.375,5.35,115,15,64,56,495,189,44,-12.21,0.92,mooremi01
Patrick Corbin,ARI,4/30/12,9/27/12,-1.1,100,6,8,16,0.429,4.77,111,14,24,80,427,142,47,-6.67,0.82,corbipa01
Eric Plunk,OAK,5/12/86,9/5/86,-1.1,107,4,7,15,0.364,5.47,82,14,88,82,475,175,48,-9.45,1.07,plunker01
Roger Erickson,MIN,4/6/78,1978-07-16 (2),-1.2,136.2,9,6,21,0.6,4.87,157,9,46,65,601,215,46,-12.63,0.89,erickro01
Johnny Cueto,CIN,4/3/08,7/22/08,-1.2,123,7,9,21,0.438,4.9,121,22,46,113,534,177,50,-8.25,0.91,cuetojo01
Esteban Loaiza,PIT,4/29/95,8/2/95,-1.2,110.1,6,5,20,0.545,5.3,128,14,31,54,478,168,44,-17.18,0.95,loaizes01
Glendon Rusch,KCR,4/6/97,8/4/97,-1.2,114.1,3,8,18,0.273,6.06,148,18,35,76,516,190,42,-13.89,0.91,ruschgl01
Brad Radke,MIN,4/29/95,8/13/95,-1.2,125.1,8,11,20,0.421,5.46,146,23,30,54,543,182,45,-10.22,0.92,radkebr01
Frank Viola,MIN,6/6/82,1982-09-28 (1),-1.2,120,4,9,21,0.308,5.25,142,21,37,79,516,184,45,-9.67,1.01,violafr01
Chris Reitsma,CIN,4/4/01,7/22/01,-1.3,126,4,10,21,0.286,4.71,146,13,36,62,556,191,46,-7.48,0.99,reitsch01
Enrique González,ARI,5/28/06,9/28/06,-1.3,105.1,3,7,18,0.3,5.72,112,14,34,65,457,155,44,-12.12,0.96,gonzaen01
