Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
Jerome Williams,SFG,4/26/03,2003-09-27 (1),1.3,131,7,5,21,0.583,3.3,116,10,49,88,545,176,54,17.69,1.03,willije01
John Henry Johnson,OAK,4/10/78,7/17/78,1.2,122.2,7,5,18,0.583,2.57,101,9,53,59,507,159,56,16.22,0.97,johnsjo04
Kenta Maeda,LAD,4/6/16,7/29/16,1.2,120,9,7,21,0.563,3.23,98,12,32,120,481,136,57,13.67,0.97,maedake01
Craig McMurtry,ATL,4/10/83,7/18/83,1.2,127.2,10,5,20,0.667,3.17,114,8,44,62,530,170,54,10.4,1.02,mcmurcr01
Rick Aguilera,NYM,6/12/85,10/3/85,1.1,122.1,10,7,19,0.588,3.24,118,8,37,74,507,160,53,3.1,0.98,aguilri01
Brett Tomko,CIN,5/27/97,9/20/97,1.1,118.1,11,7,18,0.611,3.5,102,13,44,88,489,152,55,13.85,1,tomkobr01
Eric King,DET,5/15/86,8/22/86,1.1,113.2,9,3,14,0.75,3.48,87,7,52,65,473,150,53,14.47,1.02,kinger01
Andrew Abbott,CIN,6/5/23,9/27/23,1.1,109.1,8,6,21,0.571,3.87,100,16,44,120,459,146,53,9.2,0.91,abbotan01
Jaime Barria,LAA,4/11/18,8/31/18,1.1,106.2,9,8,21,0.529,3.46,102,15,30,81,441,138,52,12.17,0.89,barrija01
Bobby Miller,LAD,5/23/23,2023-09-26 (2),1.1,120.1,11,4,21,0.733,3.89,104,12,31,115,491,143,54,11.64,0.96,millebo06
Andy Pettitte,NYY,4/29/95,8/11/95,1.1,108.2,6,6,16,0.5,3.81,120,8,41,68,472,166,50,11.44,0.95,pettian01
Michael Pineda,SEA,4/5/11,7/30/11,1,130,9,7,21,0.563,3.53,97,12,43,133,526,149,58,11.18,0.98,pinedmi01
Zach Plesac,CLE,5/28/19,9/27/19,1,115.2,8,6,21,0.571,3.81,102,19,40,88,475,148,53,13.92,0.9,plesaza01
Joaquín Andújar,HOU,4/8/76,8/7/76,1,119.1,6,8,18,0.429,3.77,115,5,55,40,506,172,51,-2,1.2,andujjo01
