Rk,Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,SV,BSv,CG,SHO,GF,IP,Dec,W-L%,ERA,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,GmSc,Pit,Str,WPA,RE24,IR,IS,aLI,DFS(DK),DFS(FD),Ind. Games Link,Player-additional
35,Ricky Romero,TOR,2009-04-09,2009-08-23,1.3,131.1,11,5,21,0,0,0,0,0,131.1,16,.688,3.91,134,58,57,1,16,52,0,99,5,1,5,556,194,52,2119,1289,1.3,12.42,,,1.01,,,Games List,romerri01
36,Jerome Williams,SFG,2003-04-26,2003-09-27 (1),1.3,131.0,7,5,21,0,0,2,1,0,131.0,12,.583,3.30,116,54,48,6,10,49,3,88,7,1,2,545,176,54,2035,1296,1.3,17.69,,,1.03,,,Games List,willije01
37,John Henry Johnson,OAK,1978-04-10,1978-07-17,1.2,122.2,7,5,18,0,0,5,2,1,122.2,12,.583,2.57,101,39,35,4,9,53,3,59,0,0,1,507,159,56,,,1.2,16.22,3,0,0.97,,,Games List,johnsjo04
38,Kenta Maeda,LAD,2016-04-06,2016-07-29,1.2,120.0,9,7,21,0,0,0,0,0,120.0,16,.563,3.23,98,45,43,2,12,32,3,120,5,0,3,481,136,57,1942,1273,1.2,13.67,,,0.97,,,Games List,maedake01
39,Craig McMurtry,ATL,1983-04-10,1983-07-18,1.2,127.2,10,5,20,0,0,4,2,0,127.2,15,.667,3.17,114,48,45,3,8,44,0,62,1,0,1,530,170,54,,,1.2,10.40,0,0,1.02,,,Games List,mcmurcr01
40,Rick Aguilera,NYM,1985-06-12,1985-10-03,1.1,122.1,10,7,19,0,0,2,0,1,122.1,17,.588,3.24,118,49,44,5,8,37,2,74,2,2,5,507,160,53,,,1.1,3.10,0,0,0.98,,,Games List,aguilri01
41,Brett Tomko,CIN,1997-05-27,1997-09-20,1.1,118.1,11,7,18,0,0,0,0,1,118.1,18,.611,3.50,102,48,46,2,13,44,4,88,4,0,5,489,152,55,1529,962,1.1,13.85,2,0,1.00,,,Games List,tomkobr01
42,Eric King,DET,1986-05-15,1986-08-22,1.1,113.2,9,3,14,1,1,3,1,3,113.2,12,.750,3.48,87,44,44,0,7,52,2,65,7,2,3,473,150,53,,,1.1,14.47,5,2,1.02,,,Games List,kinger01
43,Andrew Abbott,CIN,2023-06-05,2023-09-27,1.1,109.1,8,6,21,0,0,0,0,0,109.1,14,.571,3.87,100,47,47,0,16,44,0,120,1,1,1,459,146,53,1897,1191,1.1,9.20,,,0.91,337.00,631.00,Games List,abbotan01
44,Jaime Barria,LAA,2018-04-11,2018-08-31,1.1,106.2,9,8,21,0,0,0,0,0,106.2,17,.529,3.46,102,42,41,1,15,30,0,81,5,1,2,441,138,52,1434,915,1.1,12.17,,,0.89,,,Games List,barrija01
45,Bobby Miller,LAD,2023-05-23,2023-09-26 (2),1.1,120.1,11,4,21,0,0,0,0,0,120.1,15,.733,3.89,104,53,52,1,12,31,0,115,6,0,9,491,143,54,1904,1239,1.1,11.64,,,0.96,356.15,652.00,Games List,millebo06
46,Andy Pettitte,NYY,1995-04-29,1995-08-11,1.1,108.2,6,6,16,0,0,2,0,1,108.2,12,.500,3.81,120,51,46,5,8,41,3,68,1,1,3,472,166,50,1760,1056,1.1,11.44,3,0,0.95,,,Games List,pettian01
47,Michael Pineda,SEA,2011-04-05,2011-07-30,1.0,130.0,9,7,21,0,0,0,0,0,130.0,16,.563,3.53,97,55,51,4,12,43,1,133,5,0,7,526,149,58,2017,1344,1.0,11.18,,,0.98,,,Games List,pinedmi01
48,Zach Plesac,CLE,2019-05-28,2019-09-27,1.0,115.2,8,6,21,0,0,1,1,0,115.2,14,.571,3.81,102,52,49,3,19,40,0,88,3,0,1,475,148,53,1559,1019,1.0,13.92,,,0.90,,,Games List,plesaza01
49,Joaquín Andújar,HOU,1976-04-08,1976-08-07,1.0,119.1,6,8,18,0,0,7,4,1,119.1,14,.429,3.77,115,53,50,3,5,55,1,40,1,3,1,506,172,51,134,92,1.0,-2.00,6,6,1.20,,,Games List,andujjo01
50,John Stuper,STL,1982-06-01,1982-09-24,0.9,130.2,9,6,20,0,0,2,0,0,130.2,15,.600,3.17,129,50,46,4,8,52,5,51,0,0,3,552,185,52,,,0.9,9.11,0,0,1.11,,,Games List,stupejo01
51,Greg Mathews,STL,1986-06-03,1986-09-18,0.9,134.1,10,7,20,0,0,1,0,1,134.1,17,.588,3.55,125,55,53,2,13,40,3,64,2,6,5,543,171,53,,,0.9,8.88,0,0,1.00,,,Games List,mathegr01
52,Juan Nieves,MIL,1986-04-10,1986-07-22,0.9,127.2,9,4,21,0,0,4,3,0,127.2,13,.692,4.02,134,70,57,13,7,60,0,79,1,0,2,560,205,49,,,0.9,0.35,,,1.12,,,Games List,nieveju01
53,J.P. France,HOU,2023-05-06,2023-09-04,0.9,121.0,10,5,20,0,0,0,0,0,121.0,15,.667,3.72,122,55,50,5,18,37,0,91,2,0,5,513,164,52,1924,1208,0.9,8.52,3,0,0.95,297.65,594.00,Games List,francjp01
54,Adam Eaton,SDP,2000-05-30,2000-09-26,0.9,129.0,6,4,21,0,0,0,0,0,129.0,10,.600,4.33,131,63,62,1,14,59,3,88,2,0,2,560,195,50,2123,1277,0.9,7.64,,,0.98,,,Games List,eatonad01
55,Jason Simontacchi,STL,2002-05-04,2002-09-08,0.9,123.2,10,5,21,0,0,0,0,0,123.2,15,.667,4.15,117,61,57,4,17,46,2,62,5,0,1,518,171,50,1872,1152,0.9,1.10,,,0.98,,,Games List,simonja01
56,CC Sabathia,CLE,2001-04-08,2001-07-28 (1),0.9,112.0,10,3,21,0,0,0,0,0,112.0,13,.769,4.18,93,57,52,5,8,62,1,98,5,2,6,480,164,51,2025,1224,0.9,5.79,,,1.00,,,Games List,sabatc.01
57,Zack Greinke,KCR,2004-05-22,2004-09-14,0.9,126.1,8,10,21,0,0,0,0,0,126.1,18,.444,4.20,124,59,59,0,25,23,3,85,7,1,0,522,158,52,1995,1304,0.9,10.72,,,0.86,,,Games List,greinza01
58,Cole Hamels,PHI,2006-05-12,2006-09-16,0.8,119.2,8,8,21,0,0,0,0,0,119.2,16,.500,4.21,104,61,56,5,18,44,3,128,3,0,5,503,157,54,1975,1263,0.8,4.14,,,0.82,,,Games List,hamelco01
59,Tim Lincecum,SFG,2007-05-06,2007-08-26,0.8,130.1,7,4,21,0,0,0,0,0,130.1,11,.636,3.94,103,61,57,4,12,55,3,137,1,0,10,541,163,56,2093,1309,0.8,10.09,,,0.99,,,Games List,linceti01
60,Jason Bere,CHW,1993-05-27,1993-09-14,0.8,123.0,9,5,21,0,0,1,0,0,123.0,14,.643,3.80,93,57,52,5,11,73,0,110,4,0,8,526,176,54,2146,1253,0.8,10.82,,,0.95,,,Games List,bereja01
