Player,Place,Season,Age,Team,Lg,W,L,W-L%,ERA,IP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Player-additional
Manny Parra,,2008,25,MIL,NL,10,8,0.556,4.39,166,741,96,4.16,1.542,9.8,1,4.1,8,1.96,0.4,-0.9,parrama01
Jeff Robinson,,1984,23,SFG,NL,7,15,0.318,4.56,171.2,749,77,3.52,1.439,10.2,0.6,2.7,5.3,1.96,0.4,-1.1,robinje01
John Wasdin,,1996,23,OAK,AL,8,7,0.533,5.96,131.1,575,86,5.64,1.485,9.9,1.6,3.4,5.1,1.5,0.4,-0.8,wasdijo01
Jim Abbott,ROY-5,1989,21,CAL,AL,12,12,0.5,3.92,181.1,788,98,3.72,1.456,9.4,0.6,3.7,5.7,1.55,0.4,-1.3,abbotji01
Luke Hochevar,,2008,24,KCR,AL,6,12,0.333,5.51,129,566,78,4.43,1.473,10,0.8,3.3,5,1.53,0.4,-0.8,hochelu01
Sean West,,2009,23,FLA,NL,8,6,0.571,4.79,103.1,467,90,4.49,1.539,10,1,3.8,6.1,1.59,0.4,-0.4,westse01
Brian Barnes,,1991,24,MON,NL,5,8,0.385,4.22,160,684,87,4.38,1.369,7.6,0.9,4.7,6.6,1.39,0.4,-0.9,barnebr01
Matt Beech,,1997,25,PHI,NL,4,9,0.308,5.07,136.2,602,84,5.09,1.493,9.7,1.6,3.8,7.9,2.11,0.4,-0.7,beechma01
Doug Capilla,,1977,25,CINSTL,NL,7,8,0.467,4.47,108.2,472,88,4.29,1.445,8,0.8,5.1,6.2,1.23,0.4,-0.6,capildo01
Adam Loewen,,2006,22,BAL,AL,6,6,0.5,5.37,112.1,504,84,4.2,1.54,8.9,0.6,5,7.9,1.58,0.4,-0.7,loewead01
Floyd Bannister,ROY-4,1977,22,HOU,NL,8,9,0.471,4.04,142.2,622,88,3.69,1.444,8.7,0.7,4.3,7.1,1.65,0.4,-0.8,bannifl01
Cal Quantrill,,2019,24,SDP,NL,6,8,0.429,5.16,103,443,81,4.28,1.301,9.3,1.3,2.4,7.8,3.18,0.4,-0.5,quantca01
Jon Lieber,,1994,24,PIT,NL,6,7,0.462,3.73,108.2,460,116,3.98,1.298,9.6,1,2.1,5.9,2.84,0.4,-0.5,liebejo01
