Player,Place,Season,Age,Team,Lg,W,L,W-L%,ERA,IP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Player-additional
Mark Fidrych,ROY-1,1976,21,DET,AL,19,9,0.679,2.34,250.1,996,159,3.15,1.079,7.8,0.4,1.9,3.5,1.83,9.6,7.3,fidryma01
Britt Burns,ROY-5,1980,21,CHW,AL,15,13,0.536,2.84,238,970,143,3.41,1.16,8.1,0.6,2.4,5,2.11,7,4.9,burnsbr01
John Montefusco,ROY-1,1975,25,SFG,NL,15,9,0.625,2.88,243.2,1018,133,2.57,1.215,7.8,0.4,3.2,7.9,2.5,6.8,4.8,montejo01
José Fernández,ROY-1,2013,20,MIA,NL,12,6,0.667,2.19,172.2,681,176,2.73,0.979,5.8,0.5,3,9.7,3.22,6.2,4.8,fernajo02
Brandon Webb,ROY-3,2003,24,ARI,NL,10,9,0.526,2.84,180.2,750,165,3.34,1.151,7,0.6,3.4,8.6,2.53,6.1,4.8,webbbr01
Michael Soroka,ROY-2,2019,21,ATL,NL,13,4,0.765,2.68,174.2,701,171,3.45,1.111,7.9,0.7,2.1,7.3,3.46,6.1,4.6,sorokmi01
Dave Rozema,ROY-4,1977,20,DET,AL,15,7,0.682,3.09,218.1,890,139,3.95,1.173,9.2,1,1.4,3.8,2.71,5.7,3.7,rozemda01
Dwight Gooden,ROY-1,1984,19,NYM,NL,17,9,0.654,2.6,218,879,137,1.69,1.073,6.6,0.3,3,11.4,3.78,5.5,3.5,goodedw01
Michael Fulmer,ROY-1,2016,23,DET,AL,11,7,0.611,3.06,159,647,139,3.76,1.119,7.7,0.9,2.4,7.5,3.14,5.4,4,fulmemi01
Freddy García,ROY-2,1999,22,SEA,AL,17,8,0.68,4.07,201.1,888,122,4.1,1.465,9.2,0.8,4,7.6,1.89,5.4,3.4,garcifr03
Kevin Appier,ROY-3,1990,22,KCR,AL,12,8,0.6,2.76,185.2,784,139,3.32,1.255,8.7,0.6,2.6,6.2,2.35,5.3,3.6,appieke01
Dennis Eckersley,,1975,20,CLE,AL,13,7,0.65,2.6,186.2,794,144,3.63,1.27,7.1,0.8,4.3,7.3,1.69,5.3,3.4,eckerde01
Craig McMurtry,ROY-2,1983,23,ATL,NL,15,9,0.625,3.08,224.2,943,126,3.76,1.3,8.2,0.5,3.5,4.2,1.19,5.2,3.2,mcmurcr01
Paul Skenes,,2024,22,PIT,NL,10,2,0.833,2.1,120,468,200,2.64,0.992,6.6,0.8,2.3,11.3,4.87,5.2,4.2,skenepa01
Dave Fleming,ROY-3,1992,22,SEA,AL,17,10,0.63,3.39,228.1,946,117,3.38,1.248,8.9,0.5,2.4,4.4,1.87,5.1,3,flemida01
Matt Young,,1983,24,SEA,AL,11,15,0.423,3.27,203.2,851,131,3.83,1.262,7.9,0.8,3.5,5.7,1.65,5.1,3.3,youngma01
Ron Guidry,,1977,26,NYY,AL,16,7,0.696,2.82,210.2,850,140,2.73,1.134,7.4,0.5,2.8,7.5,2.71,4.8,2.9,guidrro01
John Halama,,1999,27,SEA,AL,11,10,0.524,4.22,179,763,118,4.47,1.391,9.7,1,2.8,5.3,1.88,4.8,3.1,halamjo01
Fernando Valenzuela,ROY-1,1981,20,LAD,NL,13,7,0.65,2.48,192.1,758,135,2.44,1.045,6.6,0.5,2.9,8.4,2.95,4.8,3.1,valenfe01
Jered Weaver,ROY-5,2006,23,LAA,AL,11,2,0.846,2.56,123,490,177,3.9,1.033,6.9,1.1,2.4,7.7,3.18,4.7,3.5,weaveje02
Hideo Nomo,ROY-1,1995,26,LAD,NL,13,6,0.684,2.54,191.1,780,149,2.89,1.056,5.8,0.7,3.7,11.1,3.03,4.7,3.2,nomohi01
Roy Oswalt,ROY-2,2001,23,HOU,NL,14,3,0.824,2.73,141.2,575,170,2.84,1.059,8,0.8,1.5,9.1,6,4.7,3.6,oswalro01
Frank Tanana,,1974,20,CAL,AL,14,19,0.424,3.12,268.2,1127,110,3.49,1.262,8.8,0.9,2.6,6,2.34,4.6,2.2,tananfr01
Mike Harkey,ROY-5,1990,23,CHC,NL,12,6,0.667,3.26,173.2,728,126,3.91,1.221,7.9,0.7,3.1,4.9,1.59,4.6,3.2,harkemi01
Kodai Senga,ROY-2,2023,30,NYM,NL,12,7,0.632,2.98,166.1,694,139,3.63,1.22,6.8,0.9,4.2,10.9,2.62,4.5,3.1,sengako01
Mark Langston,ROY-2,1984,23,SEA,AL,17,10,0.63,3.4,225,965,117,3.56,1.36,7.5,0.6,4.7,8.2,1.73,4.4,2.4,langsma01
John Means,ROY-2,2019,26,BAL,AL,12,11,0.522,3.6,155,637,131,4.41,1.135,8,1.3,2.2,7,3.18,4.4,2.9,meansjo01
Jeremy Hellickson,ROY-1,2011,24,TBR,AL,13,10,0.565,2.95,189,774,128,4.44,1.153,7,1,3.4,5.6,1.63,4.3,2.5,hellije01
Cal Eldred,ROY-4,1992,24,MIL,AL,11,2,0.846,1.79,100.1,394,217,2.81,0.987,6.8,0.4,2.1,5.6,2.7,4.2,3.3,eldreca01
J.A. Happ,ROY-2,2009,26,PHI,NL,12,4,0.75,2.93,166,685,144,4.33,1.235,8.1,1.1,3,6.5,2.13,4.2,3.1,happja01
Randy Wells,ROY-6,2009,26,CHC,NL,12,10,0.545,3.05,165.1,694,146,3.88,1.276,9,0.8,2.5,5.7,2.26,4.2,2.9,wellsra01
Bill Laskey,,1982,24,SFG,NL,13,12,0.52,3.14,189.1,781,114,3.46,1.21,8.8,0.7,2,4.2,2.05,4.2,2.5,laskebi01
Rolando Arrojo,ROY-2,1998,32,TBD,AL,14,12,0.538,3.56,202,853,133,4.23,1.287,8.7,0.9,2.9,6.8,2.34,4.1,2.2,arrojro01
Mike Boddicker,ROY-3,1983,25,BAL,AL,16,8,0.667,2.77,179,711,143,3.23,1.078,7.1,0.7,2.6,6,2.31,4.1,2.5,boddimi01
Daisuke Matsuzaka,ROY-4,2007,26,BOS,AL,15,12,0.556,4.4,204.2,874,108,4.23,1.324,8.4,1.1,3.5,8.8,2.51,4.1,2.1,matsuda01
Justin Verlander,ROY-1,2006,23,DET,AL,17,9,0.654,3.63,186,776,125,4.35,1.328,9,1,2.9,6,2.07,4,2.3,verlaju01
Jeremy Guthrie,,2007,28,BAL,AL,7,5,0.583,3.7,175.1,723,125,4.41,1.209,8.5,1.2,2.4,6.3,2.62,4,2.3,guthrje01
Dennis Lamp,,1978,25,CHC,NL,7,15,0.318,3.3,223.2,928,122,3.67,1.238,8.9,0.6,2.3,2.9,1.3,4,2.1,lampde01
Armando Galarraga,ROY-4,2008,26,DET,AL,13,7,0.65,3.73,178.2,746,119,4.88,1.192,7.7,1.4,3.1,6.3,2.07,4,2.3,galarar01
Ross Baumgarten,ROY-4,1979,24,CHW,AL,13,8,0.619,3.54,190.2,818,121,4.53,1.353,8.3,0.8,3.9,3.4,0.87,3.9,2.2,baumgro01
Tim Hudson,ROY-5,1999,23,OAK,AL,11,2,0.846,3.23,136.1,580,142,3.41,1.342,8,0.5,4.1,8.7,2.13,3.9,2.6,hudsoti01
Mike Mason,,1984,25,TEX,AL,9,13,0.409,3.61,184.1,750,114,3.67,1.139,7.8,0.9,2.5,5.5,2.22,3.9,2.2,masonmi01
Dontrelle Willis,ROY-1,2003,21,FLA,NL,14,6,0.7,3.3,160.2,668,127,3.45,1.282,8.3,0.7,3.2,8,2.45,3.9,2.6,willido03
Tommy Hanson,ROY-3,2009,22,ATL,NL,11,4,0.733,2.89,127.2,522,143,3.5,1.183,7.4,0.7,3.2,8.2,2.52,3.9,2.9,hansoto01
Jarrod Parker,ROY-5,2012,23,OAK,AL,13,8,0.619,3.47,181.1,751,112,3.43,1.263,8.2,0.5,3.1,6.9,2.22,3.9,2.1,parkeja02
Kerry Wood,ROY-1,1998,21,CHC,NL,13,6,0.684,3.4,166.2,699,129,3.16,1.212,6.3,0.8,4.6,12.6,2.74,3.9,2.6,woodke02
Matt Morris,ROY-2,1997,22,STL,NL,12,9,0.571,3.19,217,900,131,3.51,1.276,8.6,0.5,2.9,6.2,2.16,3.9,2.2,morrima01
Spencer Strider,ROY-2,2022,23,ATL,NL,11,5,0.688,2.67,131.2,528,154,1.83,0.995,5.9,0.5,3.1,13.8,4.49,3.8,2.7,stridsp01
