Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,NameASCII,PlayerId,MLBAMID
1983,"Frank DiPino","HOU",53,71.1,67,2.6495328991993627,77.67171853095714,2.1242595129215447,59.51824258441191,0.525273386277818,200.20839405390012,35.01865333979898,80.71864042331129,75.94995729178088,165.14910781325293,82.4886066699652,0.16845878,-0.8229578137397766,0.41381824016571045,-0.8740404023891326,20,,24,14,2.2143373489379883,"Frank DiPino",1003320,113385
2016,"Kyle Barraclough","MIA",75,72.2,113,2.848623653823177,72.11285071305383,2.1144503633418665,53.001610971389304,0.7341732904813103,101.5926852974613,11.156935924000988,69.2282934340661,92.28884335070978,173.28594134578913,170.5693238112428,0.2254902,1.7355917692184448,1.4050705432891846,-0.2859327726174343,0,4,33,12,2.167325735092163,"Kyle Barraclough",13713,607457
2021,"Emmanuel Clase","CLE",71,69.2,74,1.291866075866775,30.504049381242528,2.1078331267543593,50.459914866508825,-0.8159670508875843,170.62443987987558,20.141290854029968,79.65202694541769,73.91242636883722,115.07417541292324,67.44296426454281,0.2078853,1.0877020359039307,1.767431616783142,-1.1049055748063654,24,5,29,10,2.1549646854400635,"Emmanuel Clase",21032,661403
2013,"Trevor Rosenthal","STL",74,75.1,108,2.628319293893269,71.67403034681296,1.906261147178521,50.866730898450065,0.7220581467147482,214.49652617636582,53.905002689132786,89.53690062852402,85.96692191865284,176.1595098333041,82.12697347829388,0.2829582,0.8193779587745667,0.5577048063278198,-0.02633652831841604,3,5,24,12,2.154175281524658,"Trevor Rosenthal",10745,572096
2016,"Chris Devenski","HOU",43,83.2,83,1.6135463071865088,39.96558484400736,2.13062381905892,50.39077307737714,-0.5170775118724114,261.6573094978229,26.410927337765404,76.0959229506221,61.47390058787025,130.46356588410654,49.86046854751165,0.23355263,1.9161181449890137,2.8659136295318604,-0.03694561222248538,1,0,11,4,2.130047082901001,"Chris Devenski",12763,606965
2007,"Joakim Soria","KCR",62,69,75,2.4782622396840854,54.02302871834582,2.5004742972714835,57.24383905567105,-0.022212057587398082,197.20935788773656,38.88826609253617,69.4106728029115,66.72956197950757,163.51018162099237,82.91197836218245,0.20740741,3.8611960411071777,2.1922264099121094,-0.02270272899212067,17,4,26,5,2.1295392513275146,"Joakim Soria",6941,465657
1999,"Scott Williamson","CIN",62,93.1,107,2.4107146141480875,52.01529490346411,3.3695684209161922,71.1940363159697,-0.9588538067681047,138.7651408245396,68.16579541418719,64.00207788502406,72.0222387868676,171.88927566231138,123.87063641406885,0.17486339,1.2621979713439941,1.8125492334365845,-1.0102922025672094,19,,32,15,2.1237030029296875,"Scott Williamson",361,150182
1987,"DeWayne Buice","CAL",57,114,109,3.3947370692963896,77.74187015854832,3.4323806619746926,75.68829582693297,-0.03764359267830297,158.36706269245576,80.70841765253628,80.4149871820343,79.13154393441442,155.08250614712784,97.92598663760708,0.15098468,0.7434978485107422,1.686598777770996,-1.1804164406429596,17,,26,13,2.075544595718384,"DeWayne Buice",1001639,111677
2019,"Nick Anderson","- - -",68,65,110,3.323077703171411,78.59802371055186,2.3524708119228275,54.39527685316752,0.9706068912485835,226.57272671397064,79.55977463649224,86.00545830509667,81.21443883688077,181.0325150884015,79.67411601676471,0.34848485,1.2343140840530396,1.0127600133419037,-0.16357103237738246,1,4,27,8,2.0587860345840454,"Nick Anderson",18337,623433
2015,"Carson Smith","SEA",70,70,92,2.3142864709973376,59.913827189575386,2.119307704069068,52.97381842522297,0.19497876692826965,158.00704304242427,24.269312889254266,76.73747485288824,78.65405518680448,161.24913812180634,102.05187252621135,0.24647887,2.1013259887695312,1.2788519859313965,-0.2993763436867196,13,5,39,10,2.0363869667053223,"Carson Smith",13172,605476
2009,"Luke Gregerson","SDP",72,75,93,3.2400003295898774,84.61663687473032,2.497083698272699,60.68664246596801,0.7429166313171782,148.77230949964482,36.261643059089074,85.93018899907494,89.97407551333666,160.08037383792794,107.60092031053429,0.19496855,1.244467854499817,1.0066113471984863,-0.19562170994229644,1,6,27,13,2.034099578857422,"Luke Gregerson",4090,502381
1984,"Ken Howell","LAD",31,45.2,51,3.1532861641616483,91.02387239512521,1.4762799569007696,43.07712853498554,1.6770062072608787,318.8245242593171,29.85619814886602,99.33637265444662,86.30000514747606,187.95474020022613,58.952408934906884,0.2295082,0.2458159178495407,0.40637338161468506,-0.2673703422995492,6,,14,8,2.031960964202881,"Ken Howell",1006100,116227
1985,"Greg Harris","TEX",58,113,111,2.4690267153732646,58.59155285162714,2.799499364197605,69.57764553647733,-0.33047264882434035,163.62499655168062,57.40754554053722,71.66627009660631,75.59040293812171,181.0822691525426,110.66908137629655,0.15111111,1.6582218408584595,2.1648027896881104,-0.777442986337683,11,,20,9,2.028989791870117,"Greg Harris",1005415,115521
1989,"Gregg Olson","BAL",64,85,90,1.694117799118742,44.43906679086906,2.4567582865652304,65.35014348200696,-0.7626404874464885,115.79057290444781,13.819535048633998,72.07019104859363,89.39579744957307,177.23769620331197,153.06745505921972,0.12359551,3.4230360984802246,2.135220527648926,-0.27866601823577786,27,,30,8,2.0244863033294678,"Gregg Olson",1009791,120002
2010,"Neftalí Feliz","TEX",70,69.1,71,2.7259617384369,61.41253901210537,2.962457802450868,67.80256368409792,-0.23649606401396817,186.81505294362256,65.73294436082794,68.80310828403714,65.35520258607937,148.7472525562274,79.62272977485554,0.19702602,3.679189920425415,1.9212530851364136,0.2221180569193275,40,3,38,8,1.9891895055770874,"Neftali Feliz",18,491703
2006,"Joel Zumaya","DET",62,83.1,97,1.9440002966309047,42.636751239145205,3.338747809143071,73.842770302922,-1.3947475125121662,114.34525229052936,57.53423923610407,68.19990270943597,83.15690713497932,168.21649424501908,147.11278920299677,0.15714286,3.612795829772949,1.7199715375900269,0.5323532978536583,1,5,36,9,1.9503251314163208,"Joel Zumaya",4699,451491
2016,"Edwin Díaz","SEA",49,51.2,88,2.7870975287178488,69.67773281137013,2.043334277725536,48.42701370870517,0.7437632509923127,221.93583841360197,71.28110259601861,89.11089326145176,87.83651917270389,193.77943016662744,87.31326214336596,0.33640553,1.824501872062683,0.5864013433456421,0.31571485605859106,18,3,25,7,1.9439723491668701,"Edwin Diaz",14710,621242
1987,"Mike Henneman","DET",55,96.2,75,2.979310893490923,68.03709102346059,3.419253078669364,74.91089203468675,-0.43994218517844086,145.29088320408786,63.4535220070663,90.13287144421844,85.2377675535538,122.21960579140232,84.1206306298723,0.11278196,2.568739891052246,1.6233410835266113,0.6765105819969683,7,,20,10,1.9144883155822754,"Mike Henneman",1005656,115769
2013,"Danny Farquhar","SEA",46,55.2,79,4.203591854165847,109.3516882862585,1.8622259041514304,48.122873237386834,2.341365950014416,143.76422702441843,31.225540661061256,84.71028352788417,89.97950836398908,173.2456114184392,120.50676761621115,0.25,0.3869480490684509,0.5050219297409058,-0.1893118504952278,16,4,18,5,1.8799537420272827,"Danny Farquhar",8501,543144
1980,"Dave Smith","HOU",57,102.2,85,1.9285719062933753,56.86393085010752,2.275139426002789,65.7535607587024,-0.3465675197094136,160.98239674067983,13.736407250688492,92.02966175578851,89.96204792747648,151.46002974069287,94.08484163702408,0.12559242,-0.2045399248600006,1.369931936264038,-1.5325868539817382,10,,14,11,1.862229347229004,"Dave Smith",1012117,122371
1976,"Bruce Sutter","CHC",52,83.1,73,2.700000164794932,71.44430867513339,2.440533729278564,65.98105990067981,0.25946643551636805,183.1345190004651,75.28769059514401,82.6572620135699,80.91850502129112,169.30172917266216,92.44664950970405,0.14156627,3.6836938858032227,2.2667384147644043,0.6299415980442924,10,,24,8,1.8620256185531616,"Bruce Sutter",1012743,123004
2004,"Akinori Otsuka","SDP",73,77.1,87,1.7456899422102865,44.060210874440735,2.8165107311448296,65.89070063516274,-1.0708207889345431,168.09000156946092,62.7905775587663,75.9146576459365,76.52150625951897,161.38564963010407,96.0114496508843,0.19551282,2.81960391998291,1.214748501777649,0.521708903847264,2,5,35,11,1.835588812828064,"Akinori Otsuka",1895,430788
2012,"Kelvin Herrera","KCR",76,84.1,77,2.3478268657607586,56.88507040232864,2.7031476174049454,65.57084703729667,-0.35532075164418675,149.5322440303541,39.222772949456704,97.9316260446224,90.68870481726753,115.15741927207792,77.01176258760087,0.1627907,2.016836166381836,1.2508379220962524,0.320603215114754,3,1,27,9,1.8335047960281372,"Kelvin Herrera",6033,516969
2011,"Greg Holland","KCR",46,60,74,1.7999997711181932,43.297548952476475,2.2087197229597173,55.38829899099477,-0.4087199518415241,172.88103281049334,45.60101096309385,68.6481152696132,70.4596824262054,175.33236866849623,101.4179340104225,0.2360515,3.1559078693389893,1.7792707681655884,0.44237396067108437,4,2,24,1,1.7711236476898193,"Greg Holland",7196,518813
2014,"Ken Giles","PHI",44,45.2,64,1.1824823115606182,32.66317369443593,1.336630880730012,34.81981553911816,-0.1541485691693938,216.1179996489846,23.4742474350497,65.62459422759153,62.227648527309206,187.6749666067239,86.83911504977395,0.31927711,2.4372739791870117,1.7116613388061523,0.2811581957092657,1,0,19,2,1.7638517618179321,"Ken Giles",12910,571704
2005,"Huston Street","OAK",67,78.1,72,1.723404702928831,40.612450905338676,2.7519459900655088,63.96996544462906,-1.0285412871366777,135.67506389917986,32.188719979922176,72.88255439215003,74.06291709207838,147.82446316660048,108.95477273175752,0.1503268,3.7274200916290283,2.044973611831665,0.4867652406318115,23,4,25,6,1.731978178024292,"Huston Street",8258,434718
1980,"Steve Howe","LAD",59,84.2,39,2.657480873719647,75.89358439672482,2.8350894542375786,78.33965419125813,-0.1776085805179317,107.43638024061252,16.65674517627368,97.79258054168997,93.88706986647455,81.68865049613822,76.03444283530705,0.04735376,0.26632195711135864,1.0338618755340576,-0.9092834714613088,17,,24,17,1.7055532932281494,"Steve Howe",1006107,116222
2023,"Yennier Cano","BAL",72,72.2,65,2.1055051029637792,50.40697111739599,2.8421962216610352,67.284885237232,-0.736691118697256,183.88972677212303,40.468881956140834,92.50990433611621,77.36963596615165,99.02450924020798,53.84994203095873,0.18374558,2.631012201309204,1.715317726135254,-0.30873208076502734,8,6,34,8,1.6828581094741821,"Yennier Cano",25911,666974
2004,"Michael Gonzalez","PIT",47,43.1,55,1.2461542118231588,28.804961839356807,1.5954228096458494,35.088427672369995,-0.3492685978226906,460.47644106877243,37.35234839230865,76.58409907138567,63.28458594905769,188.3546043458974,40.90428573731067,0.28994083,0.48169800639152527,1.1298998594284058,-0.7055820713462122,1,3,13,5,1.6424654722213745,"Michael Gonzalez",1794,283166
2004,"Ryan Madson","PHI",51,76.1,55,1.6506554617817206,37.331207070250656,3.02306850976046,66.0120123724271,-1.3724130479787393,153.49214700617955,31.806584019657176,85.84940748582564,75.6331505584526,105.0558682758314,68.44380528105667,0.12211221,2.2895238399505615,2.173659324645996,-0.3554164178685013,1,1,20,6,1.6360952854156494,"Ryan Madson",1852,425492
1995,"Julian Tavarez","CLE",57,85,68,2.435294336233192,51.158451626378856,3.420944034814013,73.70118399791022,-0.9856496985808212,202.36759064093565,68.40926234292337,87.72695577568629,77.81279822672002,126.48455510674401,62.50237635989908,0.13428571,2.279468059539795,1.2076942920684814,0.5770777513535614,0,,23,8,1.6358548402786255,"Julian Tavarez",541,123118
2011,"Vinnie Pestano","CLE",68,62,84,2.3225817883801803,59.066257868507336,2.6705474014459996,67.4021578194134,-0.3479656130658193,155.35930651633143,73.55006323751653,72.65834330984511,79.1454296262126,185.49216893174702,119.39559781326017,0.24,1.818060040473938,1.2151161432266235,-0.05118786248861129,2,4,29,8,1.6332594156265259,"Vinnie Pestano",4782,502260
2010,"John Axford","MIL",50,58,76,2.4827584573970363,61.61141384893859,2.129566626599792,52.78811125805656,0.35319183079724414,126.33701537827791,16.621071563958502,79.3657069533389,88.27339662405642,166.85025575687652,132.06759623351513,0.20588235,2.387308120727539,0.9368120431900024,0.2457382965020909,24,3,28,7,1.6322752237319946,"John Axford",9059,446099
2016,"Matt Bush","TEX",58,61.2,61,2.4810814903599905,54.80468423360145,2.7411549105619737,61.91292074814794,-0.2600734202019832,164.83059428966234,47.77759884920883,76.04824380090366,71.13965980619172,119.95222207936109,72.77302901311427,0.19341564,1.6909160614013672,1.6772165298461914,-0.3937109652173112,1,3,23,4,1.627777099609375,"Matt Bush",1246,456713
2021,"Garrett Whitlock","BOS",46,73.1,81,1.9636367041217984,42.80108394237697,2.8427613384467416,66.24752446694397,-0.8791246343249433,175.77843725591322,57.40268679189978,94.5622032406031,84.88898489042369,117.9285912364408,67.08934061483447,0.2147651,2.14569091796875,0.9861335158348083,0.7312497592533085,2,3,23,6,1.6230263710021973,"Garrett Whitlock",20191,676477
2012,"Sean Doolittle","OAK",44,47.1,60,3.042254583581994,76.41193270318402,2.0803672338377406,50.791954408487015,0.9618873497442535,222.44466055922265,52.41212181375171,88.42771296856198,82.40537878580277,161.6134583554912,72.65333144937004,0.2565445,1.6332318782806396,0.9009104371070862,0.2485149987554145,1,1,22,5,1.6065223217010498,"Sean Doolittle",1581,448281
2011,"Kenley Jansen","LAD",51,53.2,96,2.8509322174133334,78.20274490631365,1.7396717563601616,45.29905797624418,1.1112604610531718,158.19693954987986,55.81418484492525,63.555668470962026,79.74031265391615,231.0681435887108,146.0635930986689,0.32110092,1.3412280082702637,1.2902079820632935,0.1191039437262933,5,1,17,3,1.5873109102249146,"Kenley Jansen",3096,445276
2019,"Giovanny Gallegos","STL",66,74,93,2.310811049055259,55.070525687349935,3.0518472968269372,70.68783131009614,-0.7410362477716781,214.75708676420297,80.437072691791,68.6376931126212,61.39107917314088,143.74478738625342,66.93366225177529,0.27598566,1.8623020648956299,2.3136720657348633,-0.22281442396215034,1,3,21,7,1.585051417350769,"Giovanny Gallegos",14986,606149
1999,"Jeff Zimmerman","TEX",65,87.2,67,2.361216593044464,47.04862243785236,3.7954510228786154,77.63826501402245,-1.4342344298341514,173.69804776763254,78.69676160857998,59.29347334107943,56.03335924953584,126.88065153991985,73.04667454039058,0.13095238,3.9519221782684326,3.090047836303711,-0.3512294570855059,3,,33,5,1.5672293901443481,"Jeff Zimmerman",1014446,150293
2012,"Ryan Cook","OAK",71,73.1,80,2.0863639981294106,52.40294690646942,2.889906605019051,71.02665742807058,-0.8035426068896405,120.83413657288389,45.10618175077602,65.03049708582964,71.96147587973883,142.90819686933625,118.26806519028716,0.18402778,2.318481922149658,1.4529129266738892,-0.08724855614591775,14,7,36,8,1.5584979057312012,"Ryan Cook",8855,475857
2023,"Gregory Santos","CHW",60,66.1,66,3.3919604492111683,78.65902119604948,2.652025168526196,59.63328777108418,0.7399352806849722,142.78496431068768,22.166371347555675,106.38638998653364,99.8503378398079,98.4604624221736,68.95716624490059,0.16955017,-0.6138059496879578,0.578649640083313,-1.0680429047897684,5,4,19,9,1.5396502017974854,"Gregory Santos",21894,666619
1977,"Willie Hernandez","CHC",66,103,77,2.9708740064657273,69.1815148416864,3.3205673371490416,79.52629757614663,-0.3496933306833143,176.39170847098399,104.26030259312154,87.20418007200654,79.51501734991147,134.7872073827308,76.41357302423418,0.12254902,1.7139300107955933,2.012798547744751,-0.5180551318212461,4,,21,14,1.5361824035644531,"Willie Hernandez",1005714,115822
1993,"Pedro Martinez","LAD",63,99.2,113,2.2575251412158863,58.52757960739472,3.08868217182056,77.9754054977309,-0.8311570306046736,113.38721830944529,52.02669196129903,71.69947433558937,87.23386148877891,179.9111475614382,158.66968575717598,0.14669927,3.5859439373016357,1.796359896659851,0.6755181974425231,2,,32,11,1.5307319164276123,"Pedro Martinez",200,118377
2022,"Jhoan Duran","MIN",57,67.2,89,1.8620690354997995,48.29627913188577,2.5212979745204147,63.61280998273219,-0.6592289390206152,200.9339441350828,74.12197579049341,85.07333082186423,77.86581929930709,150.5987481718,74.94938003956516,0.27443609,4.560606002807617,1.5934683084487915,1.2537936760091744,8,0,34,4,1.522874116897583,"Jhoan Duran",21029,661395
1985,"Stu Cliburn","CAL",43,99,48,2.0909094131792494,51.09015315428051,3.189505691536117,76.3402384612141,-1.0985962783568675,117.02078758283324,46.80413569942351,92.0408390995413,83.33022003940202,89.20919177250455,76.23363224576939,0.0556962,2.2495598793029785,2.1956677436828613,-0.3409306228571112,6,,15,8,1.5096172094345093,"Stu Cliburn",1002350,112403
1998,"Kerry Ligtenberg","ATL",75,73,79,2.71232905059491,64.70584724858107,3.029563188203885,70.73901576195254,-0.3172341376089749,163.9644650809352,73.89312034344768,74.617871114533,74.56346514787028,155.4552747031811,94.81035450976417,0.18965517,2.774198055267334,1.473595142364502,0.3603549279463505,30,,33,7,1.5031145811080933,"Kerry Ligtenberg",100,117763
2008,"Joey Devine","OAK",42,45.2,49,0.5912411063918368,14.0593087802405,1.9714338860008767,46.83635817401826,-1.3801927796090399,163.49749136066814,0,56.81551553297697,59.82631641967062,168.7040708902989,103.18450661636918,0.2,1.7024199962615967,1.6121996641159058,-0.36241230222784915,1,1,19,4,1.5025291442871094,"Joey Devine",9862,457733
1984,"Frank Williams","SFG",60,101.1,88,3.730262783425704,107.14701489980364,2.738646111197749,77.59411981916745,0.9916166722279551,105.34377270394266,26.909847365874235,89.73990845545309,99.47314597650866,137.38303976660706,130.41401152934938,0.09490741,1.471377968788147,0.26186490058898926,0.9680919939654469,3,,18,15,1.4931089878082275,"Frank Williams",1013997,124309
1982,"Ed Vande Berg","SEA",78,76,60,2.368421528147954,56.143204583705376,3.335013679388182,76.84869796523645,-0.9665921512402282,125.98434278906355,64.3176554241085,77.39644991432868,82.46231629657562,157.75221248094633,125.21572552401969,0.09240924,3.003446102142334,1.810357689857483,0.18028134802036822,5,,27,10,1.4924145936965942,"Ed Vande Berg",1013348,123636
2019,"Ty Buttrey","LAA",72,72.1,84,3.981567520206209,85.6612805506952,3.4905072201667724,74.84379805311553,0.49106030003943646,136.19354087622864,68.73833633946998,97.44054545094455,94.37970840455408,119.59449807381756,87.81217223696906,0.197411,0.4991300702095032,0.7361111640930176,-0.4109675618134593,2,4,28,14,1.4863327741622925,"Ty Buttrey",14719,621142
2015,"Keone Kela","TEX",68,60.1,68,2.38674143813985,56.84554096316046,2.6363559503875313,63.764874674619456,-0.24961451224768139,142.74066207068148,56.31554036901707,92.2937792788479,89.97080143879936,139.29340464383884,97.58495637198604,0.20576132,1.4401880502700806,0.8491430878639221,0.23294997492703007,1,3,32,9,1.4667267799377441,"Keone Kela",14696,605309
2009,"Alfredo Aceves","NYY",42,80.2,67,3.3471081766729824,72.99144969916223,3.5929516373334884,78.50054570184129,-0.245843460660506,220.40122161592865,90.24635531750856,82.44816746969502,70.66977960847773,118.97605316772723,53.9815755214087,0.1625,2.178802251815796,1.7185558080673218,0.3081989113952419,1,1,17,6,1.464511752128601,"Alfredo Aceves",5164,469686
2003,"Brad Lidge","HOU",78,85,97,3.6,82.42712427392185,3.3256396349738626,75.92413130242349,0.2743603650261375,118.79175253178667,60.26292797665147,77.39436614049438,86.85373459261659,162.7346507216706,136.99154062361288,0.15759312,2.240936040878296,1.4450221061706543,0.06525107182856416,1,5,35,14,1.4641085863113403,"Brad Lidge",563,400058
1987,"Randy Myers","NYM",54,75,92,3.9600012084964624,102.19824058313844,2.657643717193584,66.84029936449613,1.3023574913028786,173.0245108210228,76.22370687933655,84.04425128091067,88.40569111993676,187.30530262283384,108.25362425879506,0.19745223,0.9617721438407898,0.3469395935535431,0.6725763204416781,6,,14,10,1.4622429609298706,"Randy Myers",1009427,119626
2024,"Hunter Gaddis","CLE",70,66.2,61,1.4850002265930522,36.817021963391696,2.8906722015380795,70.17898932203578,-1.4056719749450273,157.78007509727254,46.39061804194451,66.06702373952969,59.879448041245254,109.1519627214746,69.17981721658155,0.1902834,2.6114425659179688,2.418765068054199,-0.579748587029431,0,4,34,6,1.4400441646575928,"Hunter Gaddis",25636,683769
2018,"Jace Fry","CHW",58,50.1,68,4.291393113563196,101.86722689078677,2.42533182947034,56.855719534128546,1.8660612840928565,134.32660839203314,44.03252824655076,75.14710573700565,81.76561814158333,147.9581037551886,110.14801926379802,0.23557692,0.5532260537147522,0.8231645822525024,-0.3664670819863053,4,1,21,9,1.4272898435592651,"Jace Fry",16159,605240
2002,"Brendan Donnelly","ANA",46,49.2,54,2.1744969226525996,49.03272975112554,2.579524085979285,59.97251630469289,-0.40502716332668554,147.78136144077382,33.047341486264145,68.99505238061371,74.26051311471927,168.7405723568424,114.18257032539847,0.1758794,1.528757929801941,1.3209470510482788,-0.08918283468371935,1,2,19,7,1.4241929054260254,"Brendan Donnelly",1441,407791
2023,"Fernando Cruz","CIN",56,63,90,5.000000605507576,107.83815655311157,3.0169450925681383,64.89987492433194,1.9830555129394374,129.57998766331508,69.84451993349381,85.83372656787137,92.98214938792691,150.84685107585008,116.41215364755328,0.23507463,0.941666305065155,0.22716519236564636,0.864642788396853,0,0,16,7,1.4068324565887451,"Fernando Cruz",7048,518585
2015,"Alex Colomé","TBR",30,40.2,44,2.6557386183543223,67.98916224372127,1.7073637512541604,42.839639458744735,0.948374867100162,237.50126968573153,0,101.7946094987293,87.71625329039455,134.36711347861177,56.57532716007114,0.22699387,-0.028004014864563942,0.7647724151611328,-0.7850084132157904,0,5,13,6,1.406335711479187,"Alex Colome",6661,517008
