Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
1982,"Frank Tanana","TEX",7,18,30,30,7,0,13,194.1,87,4.214408343579362,105.78594006204303,3.8486680039217838,96.56161215639443,0.36574033965757824,106.28497277070772,80.49082882348299,99.64187975863223,95.24825137723374,83.30340677609482,78.37740608780828,0.03846154,-1.8605440855026245,-1.106398105621338,-0.8922945218682918,2.628432273864746,"Frank Tanana",1012818,123084
2012,"Jaime García","STL",7,7,20,20,0,0,12,121.2,98,3.9205477813073655,101.14699055254742,2.9711644289528905,77.29958228216071,0.949383352354475,130.79922769353348,53.499961827756145,112.33178012373415,104.05891147484338,94.78946742453104,72.46944095682598,0.13203884,-0.133152037858963,-0.22006376087665558,0.09811120920438311,2.6280624866485596,"Jaime Garcia",8137,448802
2011,"Jon Lester","BOS",15,9,31,31,0,0,19,191.2,182,3.474782793116444,81.83882483148973,3.8288645892952724,96.59383024798824,-0.3540817961788285,107.71578582173089,95.16734437939401,92.0078867254078,94.92365138295393,125.75084409890589,116.74319227153083,0.1339174,1.259552001953125,1.725179672241211,-0.44217367121634954,2.626598834991455,"Jon Lester",4930,452657
1977,"Luis Tiant","BOS",12,8,32,32,3,3,14,188.2,124,4.531802731005494,102.3873701761498,4.057831185922273,96.3384529922111,0.4739715450832209,157.3444761303754,138.4527244910064,105.85117013401512,100.48749151003294,117.4874092768227,74.66891111023128,0.08968059,0.4805580675601959,0.7505907416343689,-0.2896701073743532,2.6256656646728516,"Luis Tiant",1013054,123331
1999,"Kevin Tapani","CHC",6,12,23,23,1,0,10,136,73,4.830882352941177,106.16482719354849,4.02355998544132,86.27056513758967,0.8073223674998564,123.35989154019626,70.17066218990321,104.02156140278245,93.75847070881926,72.62421776930721,58.87181933120312,0.0676819,-0.4987638592720032,0.2450949102640152,-0.7551723587640087,2.6251633167266846,"Kevin Tapani",1012824,123090
2000,"Denny Neagle","- - -",15,9,33,33,1,0,18,208.1,146,4.449599782734386,92.95336807504509,4.828567779204105,99.9103846386633,-0.37896799646971946,105.8738957831596,109.29251151696482,95.732449906978,93.93047568425993,98.0329442617889,92.49826956673256,0.07333333,1.1788159310817719,0.841299943625927,0.3953334270220983,2.625050127506256,"Denny Neagle",441,119673
2001,"Aaron Sele","SEA",15,5,33,33,2,1,21,213,111,3.633803077218003,84.35358742310734,4.3496064061066955,99.99651158248649,-0.7158033288886925,109.30471936398361,95.54643090035665,98.12292230300118,89.79590181095766,75.25862115423207,68.85212620997055,0.06726457,1.6344761848449707,1.766424536705017,-0.05555247857695922,2.6232810020446777,"Aaron Sele",34,121986
1995,"Doug Drabek","HOU",10,9,31,31,2,1,16,185,143,4.767567567567568,120.79358583716156,3.8276212718035727,95.64491648555672,0.939946295763995,132.67602207610952,91.643187017355,108.185605429299,101.71575472648375,104.91834541428094,79.07860406451698,0.11166876,-1.2937599420547485,0.049628518521785736,-1.4865450235170385,2.6215434074401855,"Doug Drabek",1003473,113538
2012,"Lance Lynn","STL",17,5,29,29,0,0,16,169,174,3.674556544788658,94.80061380519655,3.467233193778414,90.02369361714392,0.20732335101024413,112.37195004605715,82.53376435582015,98.57900836162798,98.83261076839305,122.07651858909358,108.63611453228785,0.15774648,0.9551358819007874,0.8792588114738464,0.11676641628399675,2.6207528114318848,"Lance Lynn",2520,458681
2002,"Kevin Appier","ANA",14,12,32,32,0,0,20,188.1,132,3.9185838591403734,88.36014499297077,4.2788885586864325,98.04231224331004,-0.36030469954605904,107.24411299596402,100.22408730857524,101.24714221495618,97.9187118587425,103.2489482186031,96.274691697107,0.08553459,1.0612759590148926,1.1122628450393677,-0.023473986445476935,2.6206302642822266,"Kevin Appier",3,110293
