Season,Name,Team,PA,HR,R,RBI,SB,CS,OPS,wOBA,WAR,BsR,Def,Off,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,MLBAMID,league,award_id,rookie_of_the_year,rom_Awards,rom_award_id,K%+_rank,wOBA_rank,WAR_rank,wRC+_rank,AVG+_rank,BB%+_rank,OBP+_rank,SLG+_rank,ISO+_rank,Def_rank,mean_rank,batter_rank,rookie_leader
2021,Jesús Sánchez,MIA,251,14,27,36,0,1.0,0.807711883,0.3390894921556596,0.9260553883084532,-1.3959646869916469,-1.2704344987869265,2.0842503475432084,110.89143523786392,100.8757067410787,86.7476692555207,139.3395753495011,97.69535926464816,116.329189455768,138.76862718547562,107.35738084003974,660821,NL,NL,0,0.0,NL,51,9,25,12,27,40,30,6,9,40,24.9,19,0
2009,Paul Janish,CIN,292,1,36,16,2,0.0,0.600854747,0.2742672850202013,0.9259748520719372,0.8407746180891991,14.002652883529665,-13.90297366909484,58.97279266482652,79.3745571697622,96.01949387073576,78.33513124760556,87.4005711720903,72.19177635300053,59.97949919461122,81.55663204545314,457926,NL,NL,0,0.0,NL,6,43,16,44,44,22,41,44,40,3,30.3,36,0
2004,Jorge Cantu,TBR,185,2,25,17,0,0.0,0.802968285,0.3463363921320116,0.9257444819467986,1.2649500276893375,-0.0550799518823623,3.2495987859068727,108.39870815787133,111.09279808644092,57.24606186712715,145.43733004164804,100.62219502762136,106.47823493734852,98.85257500086054,130.28804381158133,408305,AL,AL,0,0.0,AL,38,10,14,9,5,39,12,10,16,21,17.4,14,0
2019,Michael Chavis,BOS,382,18,46,58,2,1.0,0.765793562,0.3231830008720097,0.923231964630687,-2.071626130491495,-0.2971138954162597,-4.035077134390233,95.97845690782351,99.9465975231202,95.4517253373927,145.404248880916,99.60638161906871,100.84319517111402,102.06397665671652,116.09067758852258,656308,AL,AL,0,1.0,AL,69,28,25,32,36,27,27,25,24,32,32.5,31,0
2019,Mike Ford,NYY,163,12,30,25,0,0.0,0.90913381,0.3723980043985829,0.9222092678078362,-0.6610034964978695,-2.9207631051540375,6.51107627369882,134.42655201015975,101.97189799182544,122.67237378279698,75.12892370854179,108.17643550419685,127.11865858766424,161.35797818091845,81.31177824623855,645801,AL,AL,0,0.0,AL,9,7,26,6,31,11,11,8,5,46,16.0,4,0
2016,Whit Merrifield,KCR,332,2,44,29,8,3.0,0.715545797,0.3093283394972483,0.918808247314786,2.594474492361769,-1.1454547941684723,-1.1222258697610012,90.6759280714839,109.90875239306276,71.35866278765573,104.97768575473944,100.46359783881766,92.55040794959208,65.69586290826112,120.98284412695337,593160,AL,AL,0,0.0,AL,31,37,23,38,15,49,27,42,49,34,34.5,39,0
2017,Jesse Winker,CIN,137,7,21,15,1,1.0,0.903925619,0.3835735439377672,0.9171100735644764,0.1049184617586433,-1.5565251111984253,6.055989244584569,133.79695379449606,113.85702805317015,121.69147842584422,83.40936518615182,112.415259135825,120.97414544200068,131.54642524896403,105.55593547515524,608385,NL,NL,0,0.0,NL,9,4,21,6,6,17,6,7,13,34,12.3,3,0
2008,Nyjer Morgan,PIT,175,0,26,7,9,5.0,0.719827586,0.3226301121985775,0.913405761088043,1.5629521885421127,3.496274948120117,0.0485620030002322,93.10592242001078,109.90209444323216,62.69632544449482,106.65856028613968,101.68742764779115,87.94753836382606,51.06620630930343,120.8551934402345,460579,NL,NL,0,0.0,NL,20,28,22,27,8,43,17,39,52,12,26.8,26,0
2017,Guillermo Heredia,SEA,426,6,43,24,1,5.0,0.652081681,0.2878041583031909,0.9129576628167204,-2.5914676459506154,8.21569037437439,-13.10767283266861,79.9919580776096,97.06675824612886,75.25133722284451,70.55228791202089,97.16251339606028,78.34476053140762,50.72186962173922,95.31455027772326,628338,AL,AL,0,0.0,AL,5,52,22,49,36,39,35,53,61,3,35.5,39,0
2022,David Villar,SFG,181,9,21,24,0,1.0,0.786619917,0.3437232022786008,0.9059764483276848,-1.003103980794549,-1.7499411702156067,4.123542206734983,124.37857999324878,94.98347747758984,119.0185774333918,141.70114528947926,105.65390639025762,114.36899516565072,144.75710437694113,103.01256976222642,681584,NL,NL,0,0.0,NL,65,10,22,11,44,19,15,11,7,41,24.5,12,0
