,Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP,rookie_of_the_year,_merge,ERA-_int_FIP-,IP_int_K/BB+,IP_int_K%+,IP_int_ERA-,IP_int_FIP-,K%+_int_BB%+,HR/9+_int_BB%+,K%+_int_ERA-,K%+_int_HR/9+,WHIP+_int_ERA-,WHIP+_int_FIP-,K-BB%_int_ERA-,K-BB%_int_FIP-,WHIP+_int_HR/9+,SD_int_MD,SD_int_SD_pct,ERA-_int_FIP-_int_WAR,ERA-_int_FIP-_int_WPA,ERA-_int_FIP-_int_IP,ERA-_int_FIP-_int_SD_int_MD,SD_int_MD_int_SD_pct
671,1977,Enrique Romo,SEA,55,98.2,92,3.010134979962788,72.78940806369857,2.9204754451838095,67.5834040881618,0.0896595347789785,186.05349849034147,71.27723391553067,85.82967611458598,83.19066201154432,177.8316177803659,95.5809037667326,0.15037594,0.3916480243206024,1.0891427993774414,-0.8338802031464665,16,0.0,25,16,2.5890300273895264,121427,1970s,0.0263648678960236,1.7854545454545454,0.6097560975609756,relief,AL,AL,5,1,4,3,3,5,11,1,1,3,1,6,3,1,1,1,3,9,3.4444444444444446,2,16,26.444444444444443,romoen01,Rookie of the Year,1977.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0039882690867678,0.0,left_only,4919.355978507044,18270.453551751532,17463.06486603193,7147.9198718552,6636.690281457489,16997.306745747526,6812.742435639227,12944.258193242727,12675.345818108382,6055.399044247527,5622.308127087891,10.945775659622253,10.162917918157174,5929.600275784695,400,15.24390243902439,12736.360343772922,1926.6560499120276,483080.7570893917,1967742.3914028176,243.90243902439025
672,2016,Seunghwan Oh,STL,76,79.2,103,1.9205025211962343,47.09553771845071,2.1298237539744234,52.614418159133145,-0.209321232778189,226.3608897653935,50.883111823510795,75.08263906766365,69.04635814339201,154.41845410805365,68.21782140208201,0.2715655,2.514630079269409,2.277130603790283,-0.7905401361533058,19,4.0,29,12,2.57037091255188,493200,2010s,0.0324541781887863,1.0421052631578949,0.7073170731707317,relief,NL,NL,3,3,9,3,4,6,18,1,2,2,4,1,2,2,2,2,8,18,5.0,2,8,26.333333333333332,ohse01,Rookie of the Year,2016.0,NL,1.0,150.0,0.0,0.0,0.0066666666666666,1,0.0317503797887551,0.0,both,2477.904314947793,17927.782469419166,12229.941565357849,3729.966587301296,4167.061918203345,10534.090523528801,3471.1350347584266,7272.42012987069,7857.291467993764,3251.7753642637745,3632.8339597216955,12.789523248279925,14.288260774594074,3513.293562416391,348,20.51219512195122,6369.1331752286,6231.01272391918,196250.02174386522,862310.7016018319,246.14634146341461
673,1977,Willie Hernandez,CHC,66,103.0,77,2.9708740064657273,69.1815148416864,3.3205673371490416,79.52629757614663,-0.3496933306833143,176.391708470984,104.26030259312154,87.20418007200654,79.51501734991147,134.7872073827308,76.41357302423418,0.12254902,1.7139300107955933,2.012798547744751,-0.5180551318212461,4,0.0,21,14,1.5361824035644531,115822,1970s,0.014914392267616,1.5606060606060606,0.6,relief,NL,NL,2,3,7,1,4,1,10,2,2,2,2,2,1,2,2,3,4,7,3.1666666666666665,1,15,26.11111111111111,hernawi01,Rookie of the Year,1977.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0166400971921902,0.0,left_only,5501.749736068557,18168.345972511353,13883.082360421273,7125.696028693698,8191.208650343103,10299.572114072897,7966.902245728245,9324.783188017853,14052.955027405338,5500.969352929852,6323.534931541522,8.478126845964121,9.745869832185145,8290.259769599079,294,12.6,8451.691133363891,9429.613984534633,566680.2228150613,1617514.4224041556,176.4
674,1982,Ed Vande Berg,SEA,78,76.0,60,2.368421528147954,56.143204583705376,3.335013679388182,76.84869796523645,-0.9665921512402282,125.98434278906356,64.3176554241085,77.39644991432868,82.46231629657562,157.75221248094633,125.21572552401967,0.09240924,3.003446102142334,1.810357689857483,0.1802813480203682,5,0.0,27,10,1.4924145936965942,123636,1980s,0.0196370341275867,0.9743589743589745,0.7297297297297297,relief,AL,AL,3,5,6,4,2,11,9,2,3,5,2,2,2,5,4,3,1,4,4.055555555555555,2,8,25.88888888888889,vandeed01,Rookie of the Year,1982.0,AL,9.0,140.0,0.0,0.0,0.0642857142857142,1,0.0395190276597675,0.0,both,4314.532171853653,9574.81005196883,11989.16814855192,4266.8835483616085,5840.501045357971,19753.057738821008,8053.581887933645,8856.71473884993,10146.252444740254,4629.698694284867,6337.121638589336,5.1881508667447305,7.101529773957047,5303.782845036997,270,19.7027027027027,6439.070778247855,12958.464834121554,327904.44506087765,1164923.6864004864,197.02702702702703
675,2006,Cla Meredith,SDP,45,50.2,37,1.0657895271797946,25.82123076145023,2.9296425057910485,67.22506839927259,-1.863852978611254,311.5492294298123,47.766874507152735,64.90227743054972,50.6374491817029,116.68327691343777,37.45259571565136,0.16756757,2.905613899230957,2.027069330215454,0.0887198163510882,0,2.0,22,4,1.109263896942139,448592,2000s,0.0220968903773334,1.1155555555555556,0.8461538461538461,relief,NL,NL,2,3,6,1,2,1,2,6,4,14,8,4,3,1,4,4,2,8,4.166666666666667,3,9,25.333333333333332,meredcl01,Rookie of the Year,2006.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0578807549647601,0.0,left_only,1735.8340040918931,15639.77131737658,5857.5005010545765,1296.2257842248016,3374.698433643484,4370.091597016381,1788.993439516645,3012.905819184075,5573.595445407534,1307.5212604919598,3404.105984804667,4.326800893105465,11.264741354749898,2418.7926804247263,88,18.615384615384617,1925.49799182365,5043.663409047131,87138.86700541303,152753.39236008658,74.46153846153847
676,1989,Gregg Olson,BAL,64,85.0,90,1.694117799118742,44.43906679086906,2.4567582865652304,65.35014348200696,-0.7626404874464885,115.7905729044478,13.819535048633998,72.07019104859363,89.39579744957307,177.23769620331197,153.06745505921972,0.12359551,3.4230360984802246,2.135220527648926,-0.2786660182357778,27,0.0,30,8,2.024486303329468,120002,1980s,0.0238174859215231,1.328125,0.7894736842105263,relief,AL,AL,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,3,1.3888888888888888,1,9,24.11111111111111,olsongr01,Rookie of the Year,1989.0,AL,136.0,140.0,26.0,0.0,0.9714285714285714,1,0.0402710129232967,1.0,both,2904.099390989784,9842.198696878062,15065.204177281517,3777.3206772238705,5554.762195970591,27129.323098400095,2115.321059996096,7876.277819438741,2449.3425546208146,3972.66581368458,5842.028190018032,5.492469123941525,8.076984312231826,1235.4083560549607,240,23.68421052631579,5879.309440566268,9940.837048932466,246848.44823413162,696983.8538375482,189.47368421052633
677,1988,Rob Dibble,CIN,37,59.1,59,1.820224992164332,51.204809399796346,2.330697556990373,63.47071212924998,-0.5104725648260411,147.53056136537336,46.07181171301969,83.21930335465599,85.43847677791331,166.72122270956592,113.00792749519808,0.16170213,0.9032559990882874,1.1129599809646606,-0.0714377046002989,0,0.0,10,3,1.1023858785629272,113333,1980s,0.0186528913462424,1.5972972972972974,0.7692307692307693,relief,NL,NL,1,1,1,2,2,4,1,2,3,4,2,2,2,2,1,4,1,5,2.2222222222222223,1,8,23.833333333333332,dibblro01,Rookie of the Year,1988.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0152835194431182,0.0,left_only,3250.0057170475875,8719.056176693566,9853.224262135347,3026.204235527964,3751.119086838674,18840.819847873398,5206.479957637347,8536.928431744322,7681.1487812395435,4374.860918821977,5422.840964332545,8.27992674619109,10.263349343916557,3936.3054151592273,30,7.6923076923076925,3582.7604077220412,2935.5871609944643,192075.33787751241,97500.17151142763,23.076923076923077
678,1985,Steve Ontiveros,OAK,39,74.2,36,1.9285709030775608,49.43087195855681,3.260347808867128,81.14396288744763,-1.3317769057895672,120.10028199624392,49.645794187614186,66.61405950301142,62.576649288401185,93.05712344242669,77.48285660776934,0.05985916,3.066771984100342,2.110377073287964,0.4082291358730807,8,0.0,18,5,1.0032927989959717,120036,1980s,0.0135214662937462,1.902564102564103,0.782608695652174,relief,AL,AL,2,5,4,1,1,3,3,5,5,7,6,2,4,4,6,5,2,4,3.8333333333333335,3,7,23.555555555555557,ontivst02,Rookie of the Year,1985.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0413311588153684,0.0,left_only,4011.016839699309,8911.4409241213,6904.838559428061,3667.7706993249153,6020.882046248615,7210.331752021038,3846.6979522177385,4599.8947537142085,4619.894798114123,3093.218338570474,5077.717307478852,2.958890473506765,4.85720945751379,3106.667451522479,90,14.08695652173913,4024.2243119218965,12300.874071744533,297617.44950568874,360991.5155729378,70.43478260869566
679,1978,Victor Cruz,TOR,32,47.1,51,1.71126696203158,43.70452542743767,2.7116036267442514,69.60524520444169,-1.0003366647126712,104.58189596647824,0.0,67.27987319437644,98.52454634106012,216.76262474558197,207.2659169435402,0.08040201,1.8525819778442385,0.9509172439575196,-0.0379174496978752,9,0.0,17,7,1.2453924417495728,112908,1970s,0.0264414531157021,1.471875,0.7083333333333334,relief,AL,AL,2,2,1,3,1,8,5,1,1,4,1,1,1,2,1,1,1,4,2.2222222222222223,1,9,23.055555555555557,cruzvi01,Rookie of the Year,1978.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0393329506973299,0.0,left_only,3042.0642089205558,4925.807300021125,10209.519625516912,2058.4831476323143,3278.4070491292036,44927.504176981565,0.0,9473.507644911419,0.0,4305.968540789623,6857.825206725867,3.513931690462098,5.5964016209799725,0.0,119,12.041666666666668,3788.5637731065535,5635.673328891212,143281.2242401582,362005.64086154616,84.29166666666667
680,2014,Ken Giles,PHI,44,45.2,64,1.1824823115606182,32.66317369443593,1.336630880730012,34.81981553911816,-0.1541485691693938,216.1179996489846,23.4742474350497,65.62459422759153,62.227648527309206,187.6749666067239,86.83911504977395,0.31927711,2.4372739791870117,1.7116613388061523,0.2811581957092657,1,0.0,19,2,1.763851761817932,571704,2010s,0.0390232690667684,1.0272727272727271,0.9047619047619048,relief,NL,NL,1,1,1,2,2,1,1,2,1,13,2,2,2,1,2,5,1,4,2.4444444444444446,2,4,22.833333333333332,gileske01,Rookie of the Year,2014.0,NL,8.0,150.0,0.0,0.0,0.0533333333333333,1,0.0539219906899781,0.0,both,1137.3256829624358,9768.533584134106,8482.90849062392,1476.3754509885043,1573.8556623681409,16297.528017123781,2038.4828737191422,6130.060032372886,4405.528603490927,2032.552492443811,2166.7552431539843,10.428603700587527,11.117170076062738,1460.7472188313625,38,17.19047619047619,2006.0739096540751,2771.974292945442,51407.1208699021,43218.37595257256,34.38095238095238
681,2010,Neftalí Feliz,TEX,70,69.1,71,2.7259617384369,61.41253901210537,2.962457802450868,67.80256368409792,-0.2364960640139681,186.81505294362256,65.73294436082794,68.80310828403714,65.35520258607937,148.7472525562274,79.62272977485554,0.19702602,3.679189920425415,1.9212530851364136,0.2221180569193275,40,3.0,38,8,1.9891895055770872,491703,2010s,0.0287871129605946,0.9871428571428572,0.8260869565217391,closer,AL,AL,4,4,12,1,1,5,12,1,1,2,2,1,1,2,2,1,2,9,3.5,1,5,22.833333333333332,felizne01,Rookie of the Year,2010.0,AL,122.0,140.0,20.0,0.0,0.8714285714285714,1,0.0532444272131029,1.0,both,4163.927587370422,12908.920158404318,10278.435151635313,4243.606445736481,4685.157150571165,11843.662295036685,5233.836466147818,9134.946450552807,9777.594876104518,4013.628928461649,4431.250285429767,12.099868139649853,13.35886926847435,4295.989895281394,304,31.391304347826086,8282.841058780163,15319.880408834573,287727.39628729614,1265833.9865606083,251.1304347826087
682,1987,Mike Henneman,DET,55,96.2,75,2.979310893490923,68.03709102346059,3.419253078669364,74.91089203468675,-0.4399421851784408,145.29088320408786,63.4535220070663,90.13287144421844,85.2377675535538,122.21960579140232,84.1206306298723,0.11278196,2.568739891052246,1.623341083526611,0.6765105819969683,7,0.0,20,10,1.9144883155822752,115769,1980s,0.0199011259416036,1.7490909090909093,0.6666666666666666,relief,AL,AL,2,2,3,2,4,3,8,2,1,4,4,1,3,3,3,3,2,3,2.9444444444444446,1,7,22.055555555555557,hennemi01,Rookie of the Year,1987.0,AL,1.0,140.0,0.0,0.0,0.0071428571428571,1,0.0267020778695659,0.0,both,5096.719180012611,13976.982964233253,11757.526077132903,6545.168156456909,7206.427813736866,10281.190314507156,5337.7502869208965,8315.46644408111,7755.264445779714,5799.329749677715,6385.237202481994,7.673356478324291,8.44859722902036,5408.636559292628,200,13.333333333333332,9757.609317938219,13092.145871189488,490304.3851172132,1019343.8360025223,133.33333333333331
683,1998,Kerry Ligtenberg,ATL,75,73.0,79,2.71232905059491,64.70584724858107,3.029563188203885,70.73901576195254,-0.3172341376089749,163.9644650809352,73.89312034344768,74.617871114533,74.56346514787028,155.4552747031811,94.81035450976415,0.18965517,2.774198055267334,1.473595142364502,0.3603549279463505,30,0.0,33,7,1.5031145811080933,117763,1990s,0.0205906107001108,0.9733333333333334,0.825,closer,NL,NL,2,1,4,3,3,2,5,1,1,1,1,2,2,1,1,1,1,2,1.8888888888888888,1,7,21.833333333333332,ligteke01,Rookie of the Year,1998.0,NL,18.0,160.0,1.0,0.0,0.1125,1,0.0380027130858538,0.0,both,4577.22794840787,11969.40595090827,11348.235053332219,4723.526849146418,5163.948150622536,14738.76970502137,7005.83293559494,10058.865258930244,11487.075321665878,4824.692186182992,5274.546136360995,12.271798459923675,13.41602005996579,5509.727103396045,231,27.224999999999998,6880.098070307353,12698.136872988402,334137.6402337745,1057339.656082218,190.575
684,1999,Jeff Zimmerman,TEX,65,87.2,67,2.361216593044464,47.04862243785236,3.7954510228786154,77.63826501402245,-1.4342344298341514,173.69804776763254,78.69676160857998,59.29347334107943,56.03335924953584,126.88065153991984,73.04667454039058,0.13095238,3.9519221782684326,3.090047836303711,-0.3512294570855059,3,0.0,33,5,1.567229390144348,150293,1990s,0.0179728141071599,1.3415384615384616,0.868421052631579,relief,AL,AL,2,3,12,1,1,1,3,2,2,2,4,1,1,1,2,1,1,6,2.5555555555555554,1,5,21.5,zimmeje02,Rookie of the Year,1999.0,AL,27.0,140.0,0.0,0.0,0.1928571428571428,1,0.0453202084663811,0.0,both,3652.7734173746644,15146.469765337559,11063.99281428101,4102.639876580726,6770.056709222758,9268.209658509231,5748.536732604646,5969.559868970399,9985.096386978377,2636.292363255954,4350.3327950413895,6.161129083958169,10.166915582656975,4409.643914988642,165,28.657894736842106,5724.733855247581,14435.47628031231,318521.84199507075,602707.6138668197,143.28947368421052
685,2005,Huston Street,OAK,67,78.1,72,1.723404702928831,40.61245090533867,2.7519459900655088,63.96996544462906,-1.0285412871366777,135.67506389917986,32.188719979922176,72.88255439215003,74.06291709207838,147.82446316660048,108.95477273175752,0.1503268,3.727420091629028,2.044973611831665,0.4867652406318115,23,4.0,25,6,1.731978178024292,434718,2000s,0.0221764171321932,1.1656716417910449,0.8064516129032258,closer,AL,AL,1,1,4,1,1,10,6,1,1,5,2,1,1,2,1,4,2,6,2.7777777777777777,1,4,21.444444444444443,streehu01,Rookie of the Year,2005.0,AL,97.0,140.0,15.0,0.0,0.6928571428571428,1,0.0477262495727148,1.0,both,2597.977081036209,10596.222490525946,11545.090573311496,3171.8324157069496,4996.054301225529,16106.180788511016,3507.114669938603,6003.513752961607,4758.280251052022,3007.8765843082015,4737.802247108681,6.105139784756665,9.616400201401664,2383.9904991731028,150,20.161290322580644,4499.639611361961,9683.751969446099,202902.0100289279,389696.5621554313,120.96774193548386
