Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,mean_rookie_rank,rookie_rank,rk_rel_tc,rk_st_tc,mlb_rank,mean_mlb_rank,mlb_rel_tc,mlb_st_tc
2024,Tyler Ferguson,OAK,36,40.0,50,3.6000003433227867,91.41170569719324,3.312359058856966,82.37735838291465,0.2876412844658214,91.1691771223946,57.80343826840997,72.73380197598195,87.52673052842873,137.62180738808166,150.95212706676327,0.1863354,0.9069600701332092,0.6395923495292664,0.4893386598611156,0.4673885703086853,621053,2020s,0.011684714257717133,relief,AL,,,0.2857142857142857,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.8571428571428571,0.19047619047619047,0.42857142857142855,0.5714285714285714,0.047619047619047616,0.8571428571428571,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.7619047619047619,0.8571428571428571,0.5753968253968255,20,0,0,0.6917808219178082,0.5795281582952816,0,0
2024,Ryan Fernandez,STL,53,59.1,60,3.185393941085031,77.88746149014484,3.608707451841463,89.58558143621306,-0.4233135107564316,75.60606286231135,53.87571258812444,86.45402002131566,97.93724933324224,108.43837879716008,143.42550431490258,0.125,0.9701984524726868,0.0716911628842353,0.7311310798668162,0.501862645149231,681676,2020s,0.008491753725029288,relief,NL,,,0.5714285714285714,0.42857142857142855,0.6666666666666666,0.5238095238095238,0.6190476190476191,0.3333333333333333,0.5238095238095238,0.42857142857142855,0.6428571428571429,0.5714285714285714,0.7142857142857143,0.19047619047619047,0.2857142857142857,0.3333333333333333,0.9523809523809523,0.544973544973545,18,0,0,0.636986301369863,0.5546042617960425,0,0
2024,Luis Gil,NYY,24,124.2,144,3.3930481975585653,82.98978763876119,3.885220023738861,90.91318322941818,-0.4921718261802956,79.56582727697992,74.1862253711266,77.52493287111085,95.10074286127048,121.77954126373174,153.05508611067532,0.14885496,1.467480182647705,1.356297492980957,0.0828033381708517,2.1983020305633545,661563,2020s,0.017699694287949715,starter,AL,,,0.75,0.9166666666666666,0.9166666666666666,0.5,1.0,0.08333333333333333,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.6666666666666666,0.4166666666666667,0.6744791666666666,25,0,0,0.6145833333333334,0.5517578125,0,0
2024,Jared Jones,PIT,18,101.1,106,3.90789493299258,92.02050573108654,4.0853854078004925,99.31039537916276,-0.1774904748079122,124.95324581592646,118.29615871923257,91.46750024625256,88.69333299812017,114.48305637531172,91.6207131465008,0.18072289,0.9244300723075868,0.4509648382663727,0.5223586028663839,1.436803698539734,683003,2020s,0.014211708195249596,starter,NL,,,0.5833333333333334,0.5,0.16666666666666666,0.75,0.75,0.5,0.4166666666666667,0.5,0.16666666666666666,0.75,0.5833333333333334,0.4166666666666667,0.75,0.8333333333333334,0.9166666666666666,0.5833333333333333,21,0,0,0.5416666666666666,0.5078125,0,0
2024,Gavin Stone,LAD,25,140.1,116,3.527316042333899,86.47423827815824,4.035340075295094,96.9421060900002,-0.5080240329611954,114.5670249943808,102.5046035601064,100.2631789695086,93.85845248186088,89.64239346169826,78.24449632270749,0.1362069,1.3497904539108276,0.937178671360016,0.472128782495435,2.048598527908325,694813,2020s,0.014622402055020167,starter,NL,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.75,0.6666666666666666,0.5833333333333334,0.9166666666666666,0.25,0.75,0.6666666666666666,0.5833333333333334,0.25,0.8333333333333334,0.6250000000000001,24,0,0,0.515625,0.5032552083333334,0,0
2024,Kyle Leahy,STL,30,45.2,30,3.5474460456895027,86.74015596886959,3.669110979066709,91.05978649343976,-0.1216649333772057,121.80976794686512,69.99910161820343,84.03923052928415,72.9549112144783,76.8363370607934,63.078960659612385,0.12,0.5531583428382874,1.1007124185562134,-0.2249462788772602,0.2876554727554321,681517,2020s,0.006364059131757346,relief,NL,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.9523809523809523,0.2857142857142857,0.3333333333333333,0.19047619047619047,0.14285714285714285,0.42857142857142855,0.7619047619047619,0.6666666666666666,0.2857142857142857,0.5714285714285714,0.47089947089947093,15,0,0,0.5273972602739726,0.5020928462709286,0,0
2024,Cam Booser,BOS,41,42.0,42,3.000000544956851,69.23408542810509,3.3540257438780827,79.96471387094074,-0.3540251989212315,117.81862886858096,73.40119778535885,100.17528976417636,98.51494329424736,105.15239094514337,89.2493785994955,0.16384181,-0.0026717754080891,0.0662471950054168,-0.0700376784361035,0.5100622177124023,592155,2020s,0.01214433851696196,relief,AL,,,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.47619047619047616,0.2619047619047619,0.6666666666666666,0.5714285714285714,0.6190476190476191,0.09523809523809523,0.3333333333333333,0.38095238095238093,0.14285714285714285,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.43650793650793646,12,0,0,0.4657534246575342,0.47507610350076096,0,0
2024,Yuki Matsui,SDP,60,60.0,64,3.6000006866456387,90.48604583295034,3.8206925010681383,93.9304604895248,-0.2206918144224996,93.5499017925474,93.23491153097548,80.0776713141648,87.80981022105236,117.56379427035009,125.66960570393051,0.15983607,-0.5854178071022034,0.7205905318260193,-1.3358082246133316,0.4221670031547546,673513,2020s,0.00703611671924591,relief,NL,,,0.3333333333333333,0.19047619047619047,0.14285714285714285,0.6190476190476191,0.8095238095238095,0.42857142857142855,0.38095238095238093,0.38095238095238093,0.7142857142857143,0.6666666666666666,0.19047619047619047,0.6190476190476191,0.47619047619047616,0.47619047619047616,0.047619047619047616,0.4193121693121693,10,0,0,0.410958904109589,0.4621385083713851,0,0
2024,Tobias Myers,MIL,21,113.0,99,3.0265486725663715,72.64719873765418,4.258155507113027,102.7967072930678,-1.231606834546655,113.05469088698965,113.15486472555536,96.46740437873817,91.1923675054436,95.63143224728807,84.58864497154373,0.14439655,0.7915803790092468,0.633278489112854,0.1913373125707623,1.4119231700897217,668964,2020s,0.01249489531052851,starter,NL,,,0.9166666666666666,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.5,0.5,0.5,0.5,0.4166666666666667,0.5833333333333334,0.48958333333333337,16,0,0,0.40625,0.44270833333333326,0,0
2024,Randy Rodríguez,SFG,32,47.2,47,3.9650358112118194,97.8581632483276,3.37617027604136,85.81549995223868,0.5888655351704593,122.67983772496169,67.06207574869197,95.83065583498411,92.65000753767536,105.32981231749544,85.85747494661804,0.165,-0.5089235901832581,0.1683482378721237,-0.8843868666115825,0.4815315008163452,678495,2020s,0.010201938576617484,relief,NL,,,0.23809523809523808,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.47619047619047616,0.5238095238095238,0.3333333333333333,0.38095238095238093,0.23809523809523808,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.19047619047619047,0.4219576719576719,11,0,0,0.3698630136986301,0.4423515981735159,0,0
