Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,QS_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP
2003,Jason Davis,CLE,8,11,27,27,1,0,12,165.1,85,4.681451324865813,105.59143797731832,4.967005739797546,113.01983040720118,-0.2855544149317328,93.63174009454404,122.32660006790869,102.07221943135336,95.62223268673436,77.82481590695608,83.11798581930394,0.0545977,-0.9446999430656432,0.3172825872898102,-1.240750580845697,1.014704942703247,425186,2000s,0.006146002075731357,starter,AL,AL,0,0.5,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.8333333333333334,0.3333333333333333,0.25,0.75,0.3333333333333333,0.4166666666666667,0.75,0.5833333333333334,0.5,0.08333333333333333,0.375,0.48697916666666663,6,94,0.3070764462809917,davisja02,Rookie of the Year,2003.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.005721986329894871
2017,Antonio Senzatela,COL,10,5,20,20,0,0,7,111.0,79,5.027027027027027,100.88737899727796,5.004486541060714,109.31893693812668,0.0225404859663127,81.47582739446071,118.47880641740676,106.43140594281518,102.66938155359622,77.09714151555721,94.6257797364742,0.08474576,0.4460979998111725,0.2246916890144348,0.2385083803020397,0.9000565409660339,622608,2010s,0.008108617486180487,starter,NL,NL,0,0.5,0.4166666666666667,0.25,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.20833333333333334,0.4296875,10,92,0.304891304347826,senzaan01,Rookie of the Year,2017.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.004018900899199752
2002,Denny Stark,COL,10,4,20,20,0,0,11,113.1,56,4.2088240016291,86.67348507187151,6.156192475949232,136.2575220775523,-1.9473684743201316,58.91233225122339,188.04087750337325,87.05754061646171,91.50716669810642,67.33049532168836,114.28930113708462,0.01470588,0.8489438891410828,0.5450035333633423,0.3586229788148154,-0.3583269417285919,150128,2000s,-0.003168231138183837,starter,NL,NL,0,0.75,0.0625,0.0625,0.875,0.9375,0.375,0.0625,0.0625,0.375,0.1875,0.75,0.75,0.125,0.125,0.5,0.4375,0.40234375,11,94,0.30383403361344535,starkde01,Rookie of the Year,2002.0,NL,1.0,160.0,0.0,0.0,0.00625,1,0.007506135182502942
2003,Claudio Vargas,WSN,6,8,20,20,0,0,10,109.1,60,4.445121847824426,100.6781796542953,5.071156086813901,114.88985720742944,-0.6260342389894751,81.21411187416422,124.93533558214034,99.20824550672876,97.31325219617504,74.27178107448312,91.45181774008071,0.04651163,0.2318959683179855,-0.011093552224338,0.2423467010275966,0.7620024085044861,282567,2000s,0.006984440041287682,starter,NL,NL,0,0.5833333333333334,0.25,0.25,0.5833333333333334,0.5833333333333334,0.75,0.25,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.25,0.75,0.25,0.421875,9,96,0.30346074380165294,vargacl01,Rookie of the Year,2003.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0021255359149219572
2017,Nick Pivetta,PHI,8,10,26,26,0,0,8,133.0,140,6.022555700023255,138.39929611168373,4.871925211823483,109.97729510659528,1.1506304881997718,98.79147625042314,137.3344403042077,109.3175913795552,111.83753095598423,110.42524522584569,111.77607915951494,0.14212329,-1.3167179822921753,-1.829073429107666,0.3347762266827374,1.260787844657898,601713,2010s,0.009479607854570662,starter,NL,NL,0,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5,0.5833333333333334,0.9166666666666666,0.25,0.25,0.75,0.8333333333333334,0.75,0.375,0.45572916666666663,8,95,0.29646739130434774,pivetni01,Rookie of the Year,2017.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.009900135205204325
1976,Joaquin Andujar,HOU,9,10,25,25,9,4,14,169.1,56,3.561024049896967,108.45923509797936,3.80182522006796,113.6103514878986,-0.2408011701709931,50.731327904067946,64.83930429616997,98.64173141704362,102.46360891608278,60.559830192294385,119.37363327413128,-0.02247191,0.6400219798088074,-0.1156280785799026,0.6659012271261595,1.0254523754119873,110278,1970s,0.006064177264411516,starter,AL,AL,0,0.375,0.375,0.875,0.5,0.5,0.5,0.375,0.375,0.625,0.25,0.625,0.375,0.125,0.125,1.0,0.625,0.4765625,5,84,0.29591836734693877,andujjo01,Rookie of the Year,1976.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0037848727368941892
2004,Daniel Cabrera,BAL,12,8,27,27,1,1,14,146.2,75,5.031817483823258,110.42049545216288,5.108360013567752,109.43991415235648,-0.0765425297444934,44.18539083592401,74.59526167541472,95.8861902670476,111.71095632237672,69.47691103396903,157.23954442975895,-0.01978691,-0.2274980098009109,0.2567924857139587,-0.4831172963303514,1.194222092628479,425555,2000s,0.008168413766268668,starter,AL,AL,0,0.75,0.25,1.0,0.25,0.75,0.25,0.5,0.5,0.75,0.25,0.75,0.75,0.25,0.25,0.25,0.75,0.515625,3,100,0.29583333333333334,cabreda01,Rookie of the Year,2004.0,AL,29.0,140.0,0.0,0.0,0.20714285714285716,1,-0.0015560739384467232
1995,Brad Radke,MIN,11,14,28,28,2,1,8,178.0,75,5.258426966292135,109.16323375040238,5.440375599164641,116.56134777434188,-0.1819486328725057,99.7274577906318,149.33641803472833,101.12796174990712,90.78759872459052,64.50034130205543,64.67661110831762,0.03698811,-0.5941700339317322,0.1252137124538421,-0.7440061455278917,0.8131614923477173,120878,1990s,0.004568322990717513,starter,AL,AL,0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.7692307692307693,0.38461538461538464,0.9230769230769231,0.07692307692307693,0.07692307692307693,0.7692307692307693,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.6923076923076923,0.3076923076923077,0.07692307692307693,0.19230769230769232,0.3341346153846154,11,79,0.29440789473684204,radkebr01,Rookie of the Year,1995.0,AL,1.0,140.0,0.0,0.0,0.007142857142857143,1,-0.0033380338984928776
2021,Adbert Alzolay,CHC,4,13,21,21,0,0,6,106.1,107,5.16300965135196,124.25618740504407,5.1355514578633255,122.34675555317313,0.0274581934886342,127.24326213427337,165.45240001098583,98.98239921398591,93.08991746060556,103.37946345478832,81.2455318344685,0.16891892,-0.9871519207954408,-0.8306823372840881,-0.233174602697016,0.3499493896961212,640470,2020s,0.003298297735118956,starter,NL,NL,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.35714285714285715,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.35714285714285715,0.2857142857142857,0.3258928571428571,12,89,0.2932242990654206,alzolad01,Rookie of the Year,2021.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.009303976633321779
1985,Bill Swift,SEA,5,10,21,21,0,0,8,113.2,53,5.067448793728933,120.47734853527558,4.039293848632606,94.57957459217936,1.0281549450963272,71.47812288814104,65.22381921978597,109.89619240256108,113.04172236767694,76.44050514737404,106.94252626747569,0.01178782,-1.0347919464111328,-0.988871693611145,-0.029781334161391,1.6894327402114868,123053,1980s,0.014924317493034335,starter,AL,AL,0,0.14285714285714285,0.7142857142857143,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.33482142857142855,7,87,0.2925595238095239,swiftbi02,Rookie of the Year,1985.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.009141271611405767
2022,Graham Ashcraft,CIN,5,6,19,19,0,0,9,105.0,71,4.88571464071471,114.07432252736788,4.2076691764822955,99.1585837549255,0.6780454642324143,86.75790596524625,85.51316319041845,115.64671394917865,110.93693686858248,67.65464325526295,77.98095404257236,0.08836207,-0.301813930273056,0.0650365501642227,-0.3492252487245892,1.375353455543518,668933,2020s,0.013098604338509696,starter,NL,NL,0,0.4,0.6,0.7,0.3,0.1,0.9,0.4,0.5,0.3,0.1,0.4,0.5,0.3,0.3,0.2,0.65,0.415625,7,93,0.2924679487179487,ashcrgr01,Rookie of the Year,2022.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.002874418383552914
2000,Rob Bell,CIN,7,8,26,26,1,0,11,140.1,112,5.002375478218984,105.5335830755993,6.084286733708646,126.35677813605004,-1.0819112554896622,87.21195224256783,175.78306295140223,91.6198896695669,99.84840927532063,105.99059662464856,121.53219104567326,0.0631068,-1.1292219161987305,-1.5675166845321655,0.3900613384876279,0.0796776562929153,150174,2000s,0.0005687198878866189,starter,NL,NL,0,0.25,0.125,0.125,0.375,0.875,0.25,0.125,0.125,0.75,0.625,0.125,0.125,0.5,0.5,0.5,0.4375,0.36328125,8,100,0.2919337606837607,bellro01,Rookie of the Year,2000.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.008060113605986656
1999,Randy Wolf,PHI,6,9,21,21,0,0,9,120.2,115,5.444751840222762,117.75178587624212,5.1476664275543325,112.47451768704352,0.2970854126684292,97.16703783867004,131.81230472852624,99.6286536371634,109.1183831082297,123.83724642154468,127.44778481028662,0.08974359,-1.022686004638672,-0.3375687003135681,-0.682616159697653,0.7989797592163086,150116,1990s,0.006647086183163965,starter,NL,NL,0,0.125,0.25,0.25,0.125,0.375,0.125,0.25,0.25,0.375,0.875,0.125,0.375,0.375,0.75,0.125,0.25,0.3125,7,104,0.29050000000000004,wolfra02,Rookie of the Year,1999.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.008508203033599601
2001,Dave Williams,PIT,3,7,18,18,0,0,8,104.0,53,3.807691469700563,87.13524930753175,5.1356748317121355,117.77092491143608,-1.3279833620115724,63.0871473900827,104.4087229942889,93.54743089519825,92.755578156752,68.19922502717202,108.1032056462896,0.03016241,-0.0972140803933143,0.2653414905071258,-0.3593242134529636,0.4381201863288879,400063,2000s,0.00421269409931623,starter,NL,NL,0,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.8888888888888888,0.7777777777777778,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.41666666666666663,9,99,0.2904891304347825,willida07,Rookie of the Year,2001.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0009347507730126375
1986,Bobby Witt,TEX,11,9,31,31,0,0,10,157.2,174,5.479915786963548,128.532317672666,4.825979724966677,115.5401943119377,0.6539360619968706,71.44338203356679,100.71937525886791,84.9517296905281,125.36381304929976,156.1831660340169,218.611086769681,0.04183536,-1.9221339225769043,-2.0584137439727783,0.2486565612448625,0.8072772026062012,124492,1980s,0.005135351161617056,starter,AL,AL,0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,1.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.8888888888888888,1.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.5,0.3784722222222222,8,91,0.28469036697247707,wittbo01,Rookie of the Year,1986.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.012227315029115168
2006,Paul Maholm,PIT,8,10,30,30,0,0,16,176.0,117,4.755681818181818,107.7840281546713,4.805838688937101,107.98354525408018,-0.0501568707552824,72.97549516719309,87.09010520987552,111.29573272191244,114.59492869675248,86.62400612775485,118.70286661162372,0.04568528,-0.9449939727783204,-1.0856876373291016,0.1741406041693149,1.3870707750320437,430904,2000s,0.007881083949045702,starter,NL,NL,0,0.42105263157894735,0.3684210526315789,0.7894736842105263,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.47368421052631576,0.3684210526315789,0.7894736842105263,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,0.8421052631578947,0.36184210526315785,14,97,0.28453947368421056,maholpa01,Rookie of the Year,2006.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0053692839362404566
1998,Brian Meadows,MIA,11,13,31,31,1,0,11,174.1,88,5.214149748081156,128.50273790723074,4.464200196536174,105.53038844209296,0.7499495515449821,95.2925014512517,103.13953825670548,119.5002990007703,111.56861567379536,65.04916707044602,68.26263681243981,0.05440415,-1.9093979597091677,-1.4789469242095947,-0.5191181555255615,1.6874874830245972,132785,1990s,0.009692633446436515,starter,NL,NL,0,0.2857142857142857,0.7142857142857143,0.6428571428571429,0.21428571428571427,0.07142857142857142,1.0,0.7857142857142857,0.7142857142857143,0.9285714285714286,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.35714285714285715,0.21428571428571427,0.4642857142857143,0.47098214285714285,8,99,0.2845262096774193,meadobr01,Rookie of the Year,1998.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.010967248476215783
1998,Seth Greisinger,DET,6,9,21,21,0,0,11,130.0,66,5.123077524399687,109.01431654393754,5.023767846575882,105.983860934301,0.0993096778238049,73.86514259835067,106.52848107172834,104.55681851933056,102.07955940770417,72.15938265708847,97.6907140220043,0.03202847,-0.4952859282493591,-0.0485586933791637,-0.4819439413158144,1.2371574640274048,133960,1990s,0.009516595877133882,starter,AL,AL,0,0.6428571428571429,0.6428571428571429,0.5714285714285714,0.6428571428571429,0.5,0.5714285714285714,0.42857142857142855,0.6428571428571429,0.35714285714285715,0.21428571428571427,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.4642857142857143,0.47098214285714285,8,100,0.28427419354838707,greisse01,Rookie of the Year,1998.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.0038098917557643007
2013,Wily Peralta,MIL,11,15,32,32,2,1,17,183.1,129,4.369091030303706,112.84923760258371,4.296945319583989,109.69643694523783,0.0721457107197176,70.19292710867798,105.21273884404872,104.90852391938591,110.655314520516,81.5939706571849,116.24243641679595,0.06982544,-1.0790139436721802,-1.1512941122055054,0.0518391677298673,0.9112021327018738,503449,2010s,0.004976527213008596,starter,NL,NL,0,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.25,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.25,0.25,0.4166666666666667,0.75,0.30208333333333337,10,112,0.28125,peralwi01,Rookie of the Year,2013.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.005893030822895578
2007,Jason Hirsh,COL,5,7,19,19,1,0,10,112.1,75,4.807121879379403,100.42122008882062,5.32269128841711,114.0001360278052,-0.515569409037707,78.03918916215518,137.915290741764,90.8488718015663,95.94529326421014,90.6373073688069,116.1433203697244,0.05590062,-0.8297861218452454,0.056747518479824,-0.9877775366135576,0.8656179308891296,444865,2000s,0.007721837028448971,starter,NL,NL,0,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.46153846153846156,0.8461538461538461,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.2692307692307692,0.36778846153846156,10,98,0.28072478991596633,hirshja01,Rookie of the Year,2007.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.007402195556157408
1975,Randy Tate,NYM,5,13,23,23,2,0,12,130.2,93,4.5459187212510965,130.25779999394925,3.934227212356169,111.31346859600772,0.6116915088949275,78.90367725462946,86.64780164301136,96.13747112600448,111.98230045721496,123.59261107003032,156.63733436952165,0.02086957,-2.0641798973083496,-1.092918038368225,-0.9291880817051266,0.9173136949539183,123104,1970s,0.007045420084131478,starter,NL,NL,0,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.2760416666666667,6,81,0.27937500000000004,tatera01,Rookie of the Year,1975.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.015853916261968894
