Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,mean_rookie_rank,rookie_rank,rk_rel_tc,rk_st_tc,mlb_rank,mean_mlb_rank,mlb_rel_tc,mlb_st_tc,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,rookie_of_the_year,rk_bat_tc,mlb_bat_tc
2014,Ken Giles,PHI,44,45.2,64,1.1824823115606182,32.66317369443593,1.336630880730012,34.81981553911816,-0.1541485691693938,216.1179996489846,23.4742474350497,65.62459422759153,62.227648527309206,187.6749666067239,86.83911504977395,0.31927711,2.4372739791870117,1.7116613388061523,0.2811581957092657,1.763851761817932,571704,2010s,0.0390232690667684,relief,NL,NL,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,1.0,0.2,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.8,0.9037037037037037,30,1,0,0.9807692307692307,0.8596866096866097,0,0,gileske01,Rookie of the Year,2014.0,NL,8.0,150.0,0.0,0.0,0.05333333333333334,1,0,0,0
1999,Jeff Zimmerman,TEX,65,87.2,67,2.361216593044464,47.04862243785236,3.7954510228786154,77.63826501402245,-1.4342344298341514,173.69804776763254,78.69676160857998,59.29347334107943,56.03335924953584,126.88065153991984,73.04667454039058,0.13095238,3.9519221782684326,3.090047836303711,-0.3512294570855059,1.567229390144348,150293,1990s,0.01797281410715995,relief,AL,AL,0.9333333333333333,0.8666666666666667,0.26666666666666666,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8,1.0,1.0,1.0,0.9333333333333333,0.6666666666666666,0.8962962962962965,25,0,0,0.9724137931034482,0.8584291187739462,0,0,zimmeje02,Rookie of the Year,1999.0,AL,27.0,140.0,0.0,0.0,0.19285714285714287,1,0,0,0
2005,Huston Street,OAK,67,78.1,72,1.723404702928831,40.61245090533867,2.7519459900655088,63.96996544462906,-1.0285412871366777,135.67506389917986,32.188719979922176,72.88255439215003,74.06291709207838,147.82446316660048,108.95477273175752,0.1503268,3.727420091629028,2.044973611831665,0.4867652406318115,1.731978178024292,434718,2000s,0.02217641713219324,closer,AL,AL,1.0,1.0,0.8636363636363636,1.0,1.0,0.5909090909090909,1.0,1.0,0.8181818181818182,0.9545454545454546,1.0,1.0,0.9545454545454546,1.0,0.7727272727272727,0.9191919191919192,33,0,0,0.9716312056737588,0.8546099290780143,0,0,streehu01,Rookie of the Year,2005.0,AL,97.0,140.0,15.0,0.0,0.6928571428571428,1,1,0,0
1998,Kerry Ligtenberg,ATL,75,73.0,79,2.71232905059491,64.70584724858107,3.029563188203885,70.73901576195254,-0.3172341376089749,163.9644650809352,73.89312034344768,74.617871114533,74.56346514787028,155.4552747031811,94.81035450976415,0.18965517,2.774198055267334,1.473595142364502,0.3603549279463505,1.5031145811080933,117763,1990s,0.020590610700110867,closer,NL,NL,0.9,1.0,0.7,0.8,0.8,0.9,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,0.9083333333333332,24,1,0,0.958041958041958,0.8541181041181043,0,0,ligteke01,Rookie of the Year,1998.0,NL,18.0,160.0,1.0,0.0,0.1125,1,0,0,0
2010,Neftalí Feliz,TEX,70,69.1,71,2.7259617384369,61.41253901210537,2.962457802450868,67.80256368409792,-0.2364960640139681,186.81505294362256,65.73294436082794,68.80310828403714,65.35520258607937,148.7472525562274,79.62272977485554,0.19702602,3.679189920425415,1.9212530851364136,0.2221180569193275,1.9891895055770872,491703,2010s,0.028787112960594607,closer,AL,AL,0.875,0.875,0.5416666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,0.9583333333333334,0.9583333333333334,0.6666666666666666,0.8958333333333335,35,0,0,0.9731543624161074,0.8529082774049217,0,0,felizne01,Rookie of the Year,2010.0,AL,122.0,140.0,20.0,0.0,0.8714285714285714,1,1,0,0
1995,Hideo Nomo,LAD,28,191.1,236,2.5400697539344748,65.44498740574907,2.8890112274971216,70.29493775477069,-0.3489414735626468,151.5889568831187,68.91865873537779,69.00679622652002,76.70451593184968,176.9257796177266,116.71416328867852,0.2025641,3.581926107406616,3.4642748832702637,0.0192536587125902,5.189611911773682,119827,1990s,0.027156524917706343,starter,NL,NL,1.0,1.0,0.7692307692307693,1.0,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,0.5384615384615384,0.90625,26,0,1,0.9578947368421052,0.8493421052631578,0,0,nomohi01,Rookie of the Year,1995.0,NL,118.0,140.0,18.0,0.0,0.8428571428571429,1,1,0,0
2019,Giovanny Gallegos,STL,66,74.0,93,2.310811049055259,55.070525687349935,3.0518472968269372,70.68783131009614,-0.7410362477716781,214.75708676420297,80.437072691791,68.6376931126212,61.39107917314088,143.74478738625342,66.93366225177529,0.27598566,1.86230206489563,2.3136720657348633,-0.2228144239621503,1.585051417350769,606149,2010s,0.021419613747983367,relief,NL,NL,1.0,0.96,0.52,1.0,1.0,0.96,1.0,1.0,0.92,0.88,1.0,1.0,1.0,1.0,0.44,0.9011111111111112,36,0,0,0.9580838323353293,0.8393213572854292,0,0,gallegi01,Rookie of the Year,2019.0,NL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2007,Rafael Perez,CLE,44,60.2,62,1.780219519027529,40.2343508669661,3.0088359437750594,69.8243798247528,-1.2286164247475304,206.5001098454367,73.71671657213277,69.98420187191059,65.38702800725697,154.64183298086314,74.88704593110691,0.19915254,2.340440034866333,1.4500728845596311,0.8023876601624691,1.2970479726791382,460370,2000s,0.021545647386696648,relief,AL,AL,1.0,0.8,0.3,1.0,0.95,0.9,0.9,0.95,0.7,0.95,0.85,0.85,1.0,0.95,0.9,0.8708333333333332,32,0,0,0.9565217391304348,0.8350586611456179,0,0,perezra01,Rookie of the Year,2007.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2006,Cla Meredith,SDP,45,50.2,37,1.0657895271797946,25.82123076145023,2.9296425057910485,67.22506839927259,-1.863852978611254,311.5492294298123,47.766874507152735,64.90227743054972,50.6374491817029,116.68327691343777,37.45259571565136,0.16756757,2.905613899230957,2.027069330215454,0.0887198163510882,1.109263896942139,448592,2000s,0.022096890377333443,relief,NL,NL,0.9411764705882353,0.8823529411764706,0.7058823529411765,1.0,0.9411764705882353,1.0,0.7058823529411765,0.8235294117647058,0.23529411764705882,0.5882352941176471,0.8235294117647058,0.8823529411764706,1.0,0.8235294117647058,0.5882352941176471,0.8104575163398694,33,0,0,0.9455782312925171,0.8342781557067271,0,0,meredcl01,Rookie of the Year,2006.0,NL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2016,Seunghwan Oh,STL,76,79.2,103,1.9205025211962343,47.09553771845071,2.1298237539744234,52.614418159133145,-0.209321232778189,226.3608897653935,50.883111823510795,75.08263906766365,69.04635814339201,154.41845410805365,68.21782140208201,0.2715655,2.514630079269409,2.277130603790283,-0.7905401361533058,2.57037091255188,493200,2010s,0.03245417818878636,relief,NL,NL,0.9047619047619048,0.9047619047619048,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.7619047619047619,1.0,0.9523809523809523,0.9523809523809523,0.8571428571428571,1.0,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.19047619047619047,0.8095238095238095,31,0,0,0.9523809523809523,0.8276643990929704,0,0,ohse01,Rookie of the Year,2016.0,NL,1.0,150.0,0.0,0.0,0.006666666666666667,1,0,0,0
2008,Joey Devine,OAK,42,45.2,49,0.5912411063918368,14.0593087802405,1.9714338860008769,46.83635817401826,-1.38019277960904,163.49749136066814,0.0,56.81551553297697,59.82631641967062,168.7040708902989,103.18450661636918,0.2,1.702419996261597,1.6121996641159058,-0.3624123022278491,1.5025291442871094,457733,2000s,0.033241795227590916,relief,AL,AL,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.3125,1.0,0.8125,1.0,0.9375,1.0,0.375,0.875,26,0,0,0.950920245398773,0.8273687798227676,0,0,devinjo01,Rookie of the Year,2008.0,AL,3.0,140.0,0.0,0.0,0.02142857142857143,1,0,0,0
2011,Craig Kimbrel,ATL,79,77.0,127,2.103896103896104,55.82768838999888,1.518892779288354,39.83848161840757,0.58500332460775,170.0411114704537,38.90078812432562,70.77261250978921,79.39510144588297,217.7748032047674,128.0718479089375,0.31045752,1.898257851600647,1.2823338508605957,-0.2974286164408017,2.8302667140960693,518886,2010s,0.036756710572676224,closer,NL,NL,0.9230769230769231,1.0,0.9230769230769231,0.8846153846153846,0.8461538461538461,0.46153846153846156,1.0,1.0,1.0,0.9615384615384616,0.8846153846153846,0.8076923076923077,0.9230769230769231,0.9615384615384616,0.19230769230769232,0.8237179487179488,37,0,0,0.9455782312925171,0.8257747543461829,0,0,kimbrcr01,Rookie of the Year,2011.0,NL,160.0,160.0,32.0,1.0,1.0,1,1,0,0
1995,Julian Tavarez,CLE,57,85.0,68,2.435294336233192,51.158451626378856,3.420944034814013,73.70118399791022,-0.9856496985808212,202.36759064093565,68.40926234292337,87.72695577568629,77.81279822672002,126.484555106744,62.50237635989908,0.13428571,2.279468059539795,1.2076942920684814,0.5770777513535614,1.6358548402786257,123118,1990s,0.019245351062101478,relief,AL,AL,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.7857142857142857,1.0,0.9285714285714286,0.9285714285714286,1.0,0.7857142857142857,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.7857142857142857,0.8571428571428571,0.8769841269841272,25,0,0,0.9272727272727272,0.8250000000000002,0,0,tavarju01,Rookie of the Year,1995.0,AL,3.0,140.0,0.0,0.0,0.02142857142857143,1,0,0,0
2013,José Fernández,MIA,28,172.2,187,2.1891893181636215,59.51361397990536,2.729321538540294,74.59056653808503,-0.5401322203766719,128.06784928017692,58.79598472668036,72.75131893417984,76.36925902352571,139.29554319698215,108.76698661475088,0.18942731,3.533018112182617,3.647681713104248,-0.0726659638261213,4.164601802825928,605228,2010s,0.02418467945891944,starter,NL,NL,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,0.3333333333333333,0.890625,41,0,0,0.9389312977099237,0.8213263358778626,0,0,fernajo02,Rookie of the Year,2013.0,NL,142.0,150.0,26.0,0.0,0.9466666666666667,1,1,0,0
2004,Akinori Otsuka,SDP,73,77.1,87,1.7456899422102865,44.060210874440735,2.8165107311448296,65.89070063516274,-1.0708207889345431,168.09000156946092,62.7905775587663,75.9146576459365,76.52150625951897,161.38564963010407,96.0114496508843,0.19551282,2.81960391998291,1.214748501777649,0.521708903847264,1.835588812828064,430788,2000s,0.023807896405033255,relief,NL,NL,0.9130434782608695,0.9565217391304348,0.7391304347826086,0.8695652173913043,0.9130434782608695,0.6521739130434783,1.0,0.9565217391304348,0.9130434782608695,0.9130434782608695,0.9565217391304348,0.8695652173913043,0.9565217391304348,0.9565217391304348,0.8260869565217391,0.8599033816425121,27,0,0,0.9133333333333333,0.8192592592592591,0,0,otsukak01,Rookie of the Year,2004.0,NL,23.0,160.0,0.0,0.0,0.14375,1,0,0,0
2022,Félix Bautista,BAL,65,65.2,88,2.1928937407198275,57.690271792507296,2.9144614278482237,74.49523228407315,-0.7215676871283963,138.20957171647157,89.10942466681348,69.45550187971936,74.15878737984787,156.55795573362147,113.27576819697352,0.256917,2.898404121398926,1.2743533849716189,0.5352567397331907,1.3672183752059937,642585,2020s,0.020969606981687018,relief,AL,AL,0.8,0.7666666666666667,0.4,1.0,0.9333333333333333,0.5666666666666667,0.9666666666666667,0.9,0.7666666666666667,1.0,0.9666666666666667,0.8666666666666667,0.8333333333333334,0.9666666666666667,0.8666666666666667,0.8462962962962964,38,0,0,0.949438202247191,0.813514357053683,0,0,bautife01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021,Garrett Whitlock,BOS,46,73.1,81,1.9636367041217984,42.80108394237697,2.8427613384467416,66.24752446694397,-0.8791246343249433,175.77843725591322,57.40268679189978,94.5622032406031,84.88898489042369,117.9285912364408,67.08934061483447,0.2147651,2.14569091796875,0.9861335158348083,0.7312497592533085,1.622840404510498,676477,2020s,0.022200279131470563,relief,AL,AL,0.9523809523809523,0.8571428571428571,0.8095238095238095,0.7619047619047619,0.47619047619047616,0.8571428571428571,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.6666666666666666,1.0,0.9047619047619048,0.9523809523809523,0.8571428571428571,0.9523809523809523,0.8611111111111112,34,0,0,0.954248366013072,0.8124546114742194,0,0,whitlga01,Rookie of the Year,2021.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2015,Carson Smith,SEA,70,70.0,92,2.3142864709973376,59.913827189575386,2.119307704069068,52.97381842522297,0.1949787669282696,158.00704304242427,24.269312889254262,76.73747485288824,78.65405518680448,161.24913812180634,102.05187252621135,0.24647887,2.1013259887695312,1.2788519859313965,-0.2993763436867196,2.0363869667053223,605476,2010s,0.029091242381504605,relief,AL,AL,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.7368421052631579,0.8421052631578947,0.5263157894736842,1.0,0.9473684210526315,0.8947368421052632,1.0,1.0,0.9473684210526315,0.7368421052631579,0.9473684210526315,0.5263157894736842,0.8494152046783626,33,0,0,0.9565217391304348,0.8091787439613527,0,0,smithca02,Rookie of the Year,2015.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2007,Hideki Okajima,BOS,66,69.0,63,2.217392039885161,47.65308636006183,3.326561691269767,77.24140696517424,-1.109169651384606,185.1447853606404,77.77651498541883,74.25825145809603,68.78276406042721,136.338637081097,73.6389285381959,0.16911765,2.983151912689209,1.8447374105453491,0.1381587034778104,1.1314010620117188,506606,2000s,0.016397116840749546,relief,AL,AL,0.9,0.7,0.25,0.9,0.85,0.95,0.85,0.75,0.925,0.85,0.95,0.95,0.9,0.9,0.6,0.8180555555555554,30,0,0,0.9254658385093167,0.8067632850241545,0,0,okajihi01,Rookie of the Year,2007.0,AL,3.0,140.0,0.0,0.0,0.02142857142857143,1,0,0,0
2003,Brandon Webb,ARI,28,179.2,171,2.855287731236487,63.20292175589028,3.3320785912030906,74.32170692240959,-0.4767908599666035,131.27594499961396,57.02058443083931,81.88773274324583,83.38925824956827,134.21189632828018,102.23647367340014,0.13941019,3.1040899753570557,2.970672607421875,0.1343745770477102,4.306087493896484,425630,2000s,0.024029506104333062,starter,NL,NL,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9322916666666666,32,0,0,0.8925619834710744,0.8052685950413223,0,0,webbbr01,Rookie of the Year,2003.0,NL,73.0,160.0,7.0,0.0,0.45625,1,0,0,0
2003,Jose Valverde,ARI,54,50.1,71,2.1456957436838264,47.495822825977584,2.9123166688214934,64.80239499266122,-0.766620925137667,140.45876527769434,67.84569250136553,53.12067857824842,71.8987996290209,203.78016541200233,145.08184423291726,0.22058824,3.3700618743896484,1.5415124893188477,1.5327603891706048,1.125707983970642,407878,2000s,0.022469221236938963,relief,NL,NL,1.0,1.0,0.75,0.95,1.0,0.2,0.9,1.0,0.35,1.0,1.0,0.95,0.8,1.0,1.0,0.8652777777777778,31,1,0,0.9166666666666666,0.8047839506172839,0,0,valvejo01,Rookie of the Year,2003.0,NL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2012,Ryan Cook,OAK,71,73.1,80,2.08636399812941,52.40294690646942,2.889906605019051,71.02665742807058,-0.8035426068896405,120.83413657288388,45.10618175077602,65.03049708582964,71.96147587973883,142.90819686933625,118.26806519028716,0.18402778,2.318481922149658,1.4529129266738892,-0.0872485561459177,1.5584979057312012,475857,2010s,0.021320080789756515,relief,AL,AL,0.9411764705882353,0.8823529411764706,0.8823529411764706,1.0,1.0,0.4117647058823529,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,1.0,1.0,0.6470588235294118,0.9411764705882353,0.5294117647058824,0.8480392156862746,28,0,0,0.9594594594594594,0.8025525525525524,0,0,cookry01,Rookie of the Year,2012.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2016,Matt Bush,TEX,58,61.2,61,2.4810814903599905,54.80468423360145,2.7411549105619737,61.91292074814794,-0.2600734202019832,164.83059428966234,47.77759884920883,76.04824380090366,71.13965980619172,119.95222207936108,72.77302901311427,0.19341564,1.6909160614013672,1.6772165298461914,-0.3937109652173112,1.627777099609375,456713,2010s,0.026597665026296975,relief,AL,AL,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.8571428571428571,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.9047619047619048,0.6666666666666666,0.7142857142857143,0.38095238095238093,0.7605820105820105,30,0,0,0.9319727891156463,0.8019652305366591,0,0,bushma01,Rookie of the Year,2016.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021,David Bednar,PIT,61,60.2,77,2.225274958482151,52.28571113848029,2.6920120943486534,63.06045457762064,-0.4667371358665022,154.21908402634406,60.41588668743228,77.35375668220482,75.20799434810263,139.37210074419886,90.37279853198024,0.24472574,2.0552279949188232,1.7893002033233645,0.3380834242216015,1.1717697381973269,670280,2020s,0.019464613591317723,relief,NL,NL,0.9047619047619048,0.9047619047619048,0.7619047619047619,0.9047619047619048,0.9523809523809523,0.5714285714285714,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.9047619047619048,0.9523809523809523,1.0,0.8571428571428571,0.9523809523809523,0.7619047619047619,0.8452380952380953,33,0,0,0.934640522875817,0.8002904865649965,0,0,bednada01,Rookie of the Year,2021.0,NL,1.0,150.0,0.0,0.0,0.006666666666666667,1,0,0,0
2006,Joel Zumaya,DET,62,83.1,97,1.944000296630905,42.636751239145205,3.338747809143071,73.842770302922,-1.3947475125121662,114.34525229052936,57.53423923610407,68.19990270943597,83.15690713497932,168.21649424501908,147.11278920299677,0.15714286,3.612795829772949,1.7199715375900269,0.5323532978536583,1.9503251314163208,451491,2000s,0.023469616503204824,relief,AL,AL,0.8823529411764706,0.7058823529411765,0.5882352941176471,0.6470588235294118,0.8235294117647058,0.17647058823529413,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.47058823529411764,0.7058823529411765,0.9411764705882353,0.7401960784313726,30,0,0,0.9251700680272109,0.7995086923658353,0,0,zumayjo01,Rookie of the Year,2006.0,AL,0.0,0.0,0.0,0.0,0.0,0,0,0,0
