Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,rookie_of_the_year,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/G
1990,Carlos Baerga,CLE,108,338,7,46,47,16,57,0,2,0.259615384,0.280701754,0.3078285633628048,-0.4403291940689087,-5.084060770389741,89.16349215419466,53.54800994942025,114.73250488561897,91.5270682641023,101.706430230936,104.77133794104942,0.868474006652832,0.2056063115596771,0.6247596493637172,0.5418848226853411,110427,1990s,2,0.0,0.0050174520619013065,AL,AL,0,7,10,12,12,12,7,7,11,11,10,6,11,9,5,7,4,8.8125,11,batter,145.625,169,baergca01,Rookie of the Year,1990.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.008041425987526222
1975,Manny Trillo,CHC,154,613,7,55,70,45,78,1,7,0.247706422,0.576923076,0.2890031743450325,-8.373580694198608,-25.289365724370818,67.50087922064677,78.84930191844145,107.38405467603896,91.0280699754726,82.33693661361626,57.54023244669557,-1.2870396375656128,-1.2945820093154907,0.152999491387844,-1.429961469439423,123466,1970s,8,0.125,-0.00928546408726898,NL,AL,0,5,11,7,8,11,9,9,11,11,10,9,11,2,10,11,7,8.875,11,batter,157.5,192,trillma01,Rookie of the Year,1975.0,NL,1.0,24.0,1.0,0.0,0.041666666666666664,1,-0.00835740024393255
1988,Luis Alicea,STL,93,330,1,20,24,25,32,1,1,0.212121212,0.78125,0.2529042985128319,-2.473707437515259,-15.485059163443754,57.868518539450406,91.49833507282833,69.56485915976404,86.28699068404816,75.18492207659877,58.98030173805917,-1.702064037322998,-1.681046962738037,0.2033300075249882,-0.8084435472424301,110136,1980s,2,0.5,-0.008692941368198173,NL,AL,0,4,11,4,3,11,11,10,11,11,11,8,11,11,10,11,4,8.875,11,batter,170.5,206,alicelu01,Rookie of the Year,1988.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.018301763842182774
2002,Tom Wilson,TOR,96,302,8,33,37,28,79,0,0,0.256603773,0.354430379,0.3202676332944276,-3.569748878479004,-3.016302976651701,90.60072136572671,110.11598216853469,161.00020121410415,100.85067712931254,90.53436218583036,79.73935251831642,0.2007779777050018,-0.4507583677768707,0.6467691516720888,0.3656345519427976,134263,2000s,0,0.0,0.0038086932494041416,AL,AL,0,10,10,7,10,8,9,9,11,10,9,8,10,11,7,9,4,8.875,10,batter,164.0625,189,wilsoto02,Rookie of the Year,2002.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0020914372677604356
1997,Jose Guillen,PIT,143,526,14,58,70,17,88,1,2,0.267068273,0.193181818,0.3118535064925712,-34.672741413116455,-12.875127475315574,81.63732236801171,35.344414831461506,101.65458699049128,87.74490539077132,96.9708822553464,93.89005296719048,-1.792094111442566,-1.5072340965270996,-0.2360828892685054,-3.071332643116607,115229,1990s,3,0.3333333333333333,-0.021477850651165083,NL,AL,0,7,8,10,11,9,8,8,11,11,9,11,9,4,10,9,8,8.9375,10,batter,184.0625,220,guilljo01,Rookie of the Year,1997.0,NL,4.0,140.0,0.0,0.0,0.02857142857142857,1,-0.012532126653444517
2000,Adam Kennedy,LAA,156,641,9,82,72,28,73,22,8,0.265886287,0.383561643,0.302449329263845,5.270798206329346,-23.519506851730743,72.0600439769695,45.6291606041899,72.74454245012019,85.94023818490889,90.68102066322956,81.51910383813274,-1.1966681480407717,-2.4946935176849365,1.307693595490912,0.468103759224443,150456,2000s,30,0.7333333333333333,0.0030006651232336087,AL,AL,0,4,11,12,12,12,10,10,10,10,12,4,12,1,10,12,1,8.9375,10,batter,165.4375,190,kennead01,Rookie of the Year,2000.0,AL,1.0,140.0,0.0,0.0,0.007142857142857143,1,-0.007670949666928024
2010,Giancarlo Stanton,MIA,100,396,22,45,59,34,123,5,2,0.259052924,0.276422764,0.3559603931047977,4.933685779571533,8.618331135074811,117.84133588341342,97.17099319066892,168.3430899244106,98.1320348801065,122.81279975785556,164.3031001209829,0.4094778299331665,1.1932928562164309,-0.7533182585622025,2.66118850734028,519317,2010s,7,0.7142857142857143,0.0266118850734028,NL,AL,0,24,5,8,21,14,1,1,5,4,3,4,6,14,10,6,18,9.0,6,batter,114.0625,104,stantmi03,Rookie of the Year,2010.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.004094778299331665
2009,Colby Rasmus,STL,147,520,16,72,52,36,95,3,1,0.251054852,0.378947368,0.3114376879530027,11.474578022956848,-1.2284004183834796,88.88585659368009,74.65657738892165,104.47194896351606,90.53720843000194,96.47439357381384,99.88147234488213,0.0873199924826622,-0.7415432929992676,0.8313766487349384,2.6564391545715895,458675,2000s,4,0.75,0.01807101465694959,NL,AL,0,9,12,14,11,15,9,8,5,7,14,2,10,3,8,16,1,9.0,7,batter,143.625,152,rasmuco01,Rookie of the Year,2009.0,NL,1.0,160.0,0.0,0.0,0.00625,1,0.0005940135543038245
1977,Rance Mulliniks,LAA,78,303,3,36,21,23,36,1,1,0.269372693,0.638888888,0.3117553262173519,8.542749881744385,-1.802100811580706,94.9025141427024,90.46158968769812,91.65472354150748,99.57696129876504,90.16795844984554,69.06051299623222,0.4002719521522522,-0.0550192780792713,0.4333106151503125,1.7253286161838808,119506,1970s,2,0.5,0.022119597643383088,AL,AL,0,8,9,9,10,11,10,10,8,5,12,3,9,16,9,9,6,9.0,9,batter,129.8125,138,mullira01,Rookie of the Year,1977.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0051316916942596436
2005,Nick Swisher,OAK,131,522,21,66,74,55,110,0,1,0.235930735,0.5,0.3322457038368563,-0.0229711532592773,4.077591560192529,105.10926230477646,134.21364416673114,133.50725513208693,97.27840351083204,104.85067951920858,133.64357231493616,-0.3884137570858001,0.0473586656153202,-0.4326876714069915,2.174217582236812,430897,2000s,1,0.0,0.01659708078043368,AL,AL,0,15,6,4,10,16,7,3,5,8,10,13,6,7,10,12,12,9.0,6,batter,133.5,129,swishni01,Rookie of the Year,2005.0,AL,6.0,140.0,0.0,0.0,0.04285714285714286,1,-0.0029649905121053445
