Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP
2008,Masa Kobayashi,CLE,57,55.2,35,4.526947555479536,105.40649182669355,4.551180410516929,107.24106471318886,-0.0242328550373933,125.12563116890428,129.3946676883686,108.67976438100304,102.0328044857976,83.95694342198894,67.09812166737086,0.08606557,-2.2725439071655273,-0.1410610526800155,-2.1286099860561727,6,3.0,7,14,-0.120853878557682,493131,2000s,-0.0021893818579290215,0.968421052631579,0.3333333333333333,relief,AL,AL,0,0.3125,0.375,0.1875,0.3125,0.125,0.9375,0.125,0.3125,0.3125,0.65625,0.25,0.0625,0.3125,0.6875,0.375,0.25,0.125,0.0625,0.3211805555555556,13,151,0.2537491479209271,kobayma01,Rookie of the Year,2008.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.04116927368053491
2014,Mario Hollands,PHI,50,47.0,35,4.404257463945818,121.65681053614944,3.876933382366041,102.49531539994844,0.5273240815797773,61.90880195995317,68.42493494516543,100.60033950273647,110.8475976459399,83.51651003577504,134.9024753923565,0.06862745,-0.2575879991054535,-0.0666487365961074,-0.3138740196554593,0,1.0,9,6,0.0429695397615432,571786,2010s,0.0009142455268413446,0.94,0.6,relief,NL,NL,0,0.06666666666666667,0.2,0.26666666666666666,0.2,0.2,0.3333333333333333,0.7333333333333333,0.2,0.2,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.2,0.2,0.2,0.16666666666666666,0.3333333333333333,0.5333333333333333,0.26481481481481484,13,138,0.2533831908831909,hollama01,Rookie of the Year,2014.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.005480595725647947
2022,Tyler Danish,BOS,32,40.1,32,5.132232052162366,124.7507526615816,4.971935368388703,125.66135983507198,0.1602966837736632,96.32788330659444,145.07897647675972,106.6396911193814,102.92407479147008,83.25625402541935,86.43006571304974,0.11560694,-0.1027040183544159,-0.1933479458093643,0.0328258665736155,0,0.0,4,3,-0.3746126890182495,641501,2020s,-0.009341962319657095,1.253125,0.5714285714285714,relief,AL,AL,0,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.8,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.05,0.16666666666666666,0.23333333333333334,0.13333333333333333,0.5,0.3,0.1,0.38333333333333336,0.5,0.26666666666666666,27,164,0.2526529338327091,danisty01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.002561197465197404
2018,Elieser Hernández,MIA,26,40.2,26,5.311476240232537,139.47178732205322,4.70961214584297,119.8467960460042,0.6018640943895672,50.16841387404539,80.92911572507344,109.18273615197135,117.66525994915747,64.43075819267179,128.4289262948366,0.03333333,0.532833993434906,-0.3732090592384338,0.9726552963909842,0,0.0,6,4,-0.1818292737007141,622694,2010s,-0.004523116261211793,1.5461538461538462,0.6,relief,NL,NL,0,0.07692307692307693,0.11538461538461539,0.4230769230769231,0.15384615384615385,0.15384615384615385,0.34615384615384615,0.9230769230769231,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.07692307692307693,0.4230769230769231,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.3076923076923077,0.9230769230769231,0.2564102564102564,24,142,0.24946581196581194,hernael01,Rookie of the Year,2018.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.013254576951117064
1975,Jim Umbarger,TEX,44,63.1,22,4.4052629810026875,116.02201665897589,4.655709301560213,124.11146062395989,-0.2504463205575256,38.680300399082284,74.4688248845554,100.1609729085657,117.05668313338973,60.67787809434717,156.87024683173595,-0.06382979,0.0129140317440032,-0.4016301035881042,0.4134640642091333,2,0.0,11,10,-0.6726188659667969,123560,1970s,-0.01065956998362594,1.434090909090909,0.5238095238095238,relief,AL,AL,0,0.25,0.125,0.375,0.25,0.5,0.25,0.25,0.125,0.125,0.5,0.125,0.5,0.125,0.125,0.125,0.6875,0.5,0.625,0.3090277777777778,8,82,0.24934640522875817,umbarji01,Rookie of the Year,1975.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.00020465977407295089
2022,Joey Krehbiel,BAL,56,57.2,45,3.901735050423805,102.70869826902566,4.67312502183273,120.46809424974576,-0.771389971408925,90.30739062250912,130.46327314684018,99.47857284802384,98.29044347472988,83.01100624149488,91.92050034042715,0.11065574,-0.1703129559755325,-0.2701294720172882,0.0934043645010305,1,0.0,11,16,-0.3524574339389801,607216,2020s,-0.00616184325068147,1.0214285714285716,0.4074074074074074,relief,AL,AL,0,0.2,0.1,0.1,0.5,0.26666666666666666,0.7333333333333333,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.6166666666666667,0.13333333333333333,0.2,0.1,0.4,0.23333333333333334,0.43333333333333335,0.1,0.5666666666666667,0.27314814814814814,26,165,0.2485955056179775,krehbjo01,Rookie of the Year,2022.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.002977499230341477
1984,Jimmy Key,TOR,63,62.0,44,4.645164148370157,112.03835686765846,4.623091222295362,114.3300785936719,0.0220729260747951,85.2141125058004,132.16039337764772,107.20526532421611,120.40379565857948,115.89020558768377,135.9988451106385,0.04210526,-0.7782319784164429,-0.342965304851532,-0.1244441440423458,10,0.0,22,18,-0.4014151990413666,117032,1980s,-0.00647443869421559,0.9841269841269841,0.55,relief,AL,AL,0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0,0.5714285714285714,0.5714285714285714,0.3095238095238095,7,100,0.24740394600207682,keyji01,Rookie of the Year,1984.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.012552128684136176
1978,Andy Replogle,MIL,14,41.1,6,4.572582051856149,122.61535514074764,4.738069579901685,127.3875029270226,-0.1654875280455359,35.88594469789801,145.185334630518,122.10731607693656,116.40836975205818,27.883491315433552,77.70031482277766,-0.03296703,-0.2666139900684356,-0.4406977891921997,-0.0395653256139107,0,0.0,3,4,-0.3828912675380707,121077,1970s,-0.009316089234502936,2.935714285714286,0.42857142857142855,relief,NL,NL,0,0.375,0.25,0.125,0.25,0.125,1.0,1.0,0.25,0.125,0.125,0.125,0.625,0.625,0.125,0.125,0.375,0.375,0.5,0.3611111111111111,7,85,0.2472222222222223,reploan01,Rookie of the Year,1978.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.006486958395825684
1997,Jamie Walker,KCR,50,43.0,24,5.441861913422495,117.91917862344434,5.411537829729886,116.84541757948502,0.0303240836926095,65.31025018794087,114.19662700617282,98.89102568570158,106.39018517379932,74.36534407672342,113.8647323546314,0.02030457,-0.2492300122976303,-0.3922594785690307,0.0220424935253556,0,0.0,7,8,-0.2464878261089325,123828,1990s,-0.005732275025789128,0.86,0.4666666666666667,relief,AL,AL,0,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.6923076923076923,0.38461538461538464,0.5769230769230769,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.38675213675213677,11,128,0.24583333333333332,walkeja01,Rookie of the Year,1997.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.005796046797619309
1991,Wayne Rosenthal,TEX,36,70.1,61,5.246445877035123,129.46486052496456,4.362839838062964,108.66182964042636,0.8836060389721592,101.19016883070324,133.54446118169534,99.22034412666582,112.07691553495825,128.17266091396803,126.66513611675136,0.07788162,-1.419219970703125,-0.4974665343761444,-1.9787855086657404,1,0.0,4,13,-0.1194632351398468,121469,1990s,-0.0017041830975727077,1.947222222222222,0.23529411764705882,relief,AL,AL,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.22727272727272727,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2348484848484848,11,120,0.2451881014873141,rosenwa01,Rookie of the Year,1991.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.020245648654823468
