,Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,SV,BS,SD,MD,WAR,MLBAMID,decade,WAR/IP,IP/G,SD_pct,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,MD_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,SD_rank,SD_pct_rank,Clutch_rank,mean_rookie_rank,rookie_rank,mlb_rank,mean_mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/IP,ERA-_int_FIP-,IP_int_K/BB+,IP_int_K%+,IP_int_ERA-,IP_int_FIP-,K%+_int_BB%+,HR/9+_int_BB%+,K%+_int_ERA-,K%+_int_HR/9+,WHIP+_int_ERA-,WHIP+_int_FIP-,K-BB%_int_ERA-,K-BB%_int_FIP-,WHIP+_int_HR/9+,SD_int_MD,SD_int_SD_pct,ERA-_int_FIP-_int_WAR,ERA-_int_FIP-_int_WPA,ERA-_int_FIP-_int_IP,ERA-_int_FIP-_int_SD_int_MD,SD_int_MD_int_SD_pct
10,2024,Randy Rodríguez,SFG,32,47.2,47,3.9650358112118194,98.62768629318182,3.359863875742288,86.22223898801863,0.6051719354695315,122.52358944318438,67.53890135827199,96.0539320391088,92.84929167704873,105.23029997467091,85.88574554411133,0.165,-0.5089235901832581,0.1683482378721237,-0.8843868666115825,0,1.0,9,8,0.4714634120464325,678495,2020s,0.0099886316111532,1.475,0.5294117647058824,relief,NL,,2.0043905789397684e-06,16,8,11,10,14,7,13,10,9,16,12,18,15,7,10,16,16,19,12.61111111111111,12,91,82.72222222222223,rodrira02,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.0107822794530351,8503.899938406053,5783.113421718303,4966.870158804468,4655.226793038182,4069.6896802344795,9037.782767155091,5800.628896385383,10378.621014439263,7107.13884989067,9157.5108120681,8005.673816846745,16.273568238375002,14.226669433023075,6270.939151761618,72,4.764705882352941,4009.277680662365,-4327.835287212796,401384.0770927658,612280.7955652359,38.11764705882353
11,2024,Kyle Leahy,STL,31,47.0,32,4.021277248508738,99.13275525726132,3.6178612298046007,90.71230511035944,0.4034160187041369,116.78844270826036,68.49689646013289,89.79151006855255,79.29793523898755,77.87626248679933,66.6814793530234,0.11956522,0.5140582919120789,0.9256395697593688,-0.0925704684680368,1,0.0,7,6,0.2986494302749634,681517,2020s,0.0063542431973396,1.5161290322580645,0.5384615384615384,relief,NL,,1.2250402969201081e-05,17,13,13,5,11,2,5,16,14,17,20,12,8,9,16,18,15,11,12.333333333333334,11,78,76.77777777777777,leahyky01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0109374104662144,8992.560741327277,5489.056807288237,3660.1843368795685,4659.239497091282,4263.478340186894,5192.904389104141,4567.4743870525335,7720.088469454119,5334.282288260425,7861.022806452711,7193.298496020562,11.852829691540606,10.84603671722725,5431.662459567253,42,3.769230769230769,2685.623142110394,4622.700414602318,422650.354842382,377687.55113574566,22.615384615384613
12,2024,Tyler Ferguson,OAK,42,45.1,55,3.97058868078217,101.73259278616348,3.4798762106977987,87.25780213029999,0.4907124700843712,90.34361774418213,68.31483750538906,75.96469849357862,89.81213347764326,131.31318338973804,145.34860649322516,0.17837838,0.6927520632743835,0.5389711260795593,0.2642961553325051,2,2.0,13,6,0.4504697322845459,621053,2020s,0.0099882424009877,1.0738095238095238,0.6842105263157895,relief,AL,,1.8825874902018595e-06,19,9,12,9,4,17,5,11,10,19,6,11,12,14,8,11,8,7,10.666666666666666,10,58,67.38888888888889,ferguty01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0153603561701637,8876.962451537438,4074.497160262614,5922.224570877186,4588.139934655973,3935.32687607653,19086.188219887747,9929.466434219416,13358.830613243026,8970.638785585308,9136.821202337642,7836.809371892287,18.14689509439553,15.564905386363462,6135.501304537513,78,8.894736842105264,3998.802899044036,6149.534053911791,400351.00656433846,692403.0712199202,53.36842105263158
13,2024,Ryan Fernandez,STL,58,63.1,65,3.1263164171552993,77.0701299825935,3.5026316605776766,87.87579007718183,-0.3763152434223773,76.52468522229356,50.83190932732975,89.09474733860088,100.53100465812652,109.01218381575042,142.4536164211519,0.12734082,0.9925464987754822,0.1121327504515647,0.6891773871460379,2,2.0,18,8,0.5839548110961914,681676,2020s,0.0092544344072296,1.0879310344827586,0.6923076923076923,relief,NL,,6.5552206980732945e-06,9,10,6,13,10,16,13,9,11,6,11,8,17,16,15,8,6,2,10.333333333333334,9,57,67.0,fernary01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0157297384908951,6772.598563571504,4828.707637526723,6878.668798773851,4863.12520190165,5544.9623538701735,15529.179818521014,7241.189313270205,8401.58317636626,5541.297443296428,7747.937596282523,8834.241461585714,9.814173549490041,11.190175166576198,5110.182913367252,144,12.461538461538462,3954.891514820735,6722.118991884757,427350.96936136193,975254.1931542966,99.6923076923077
14,2024,Declan Cronin,MIA,52,66.0,67,4.500001040372222,106.82024806551114,2.610446456422242,64.86412075721464,1.8895545839499803,106.31556604283578,12.194524073223793,110.91138177582329,109.4101321967904,104.90150409619774,98.66993692349008,0.15384615,1.1566380262374878,0.676995575428009,0.6827670760199103,0,1.0,13,8,1.1367357969284058,686539,2020s,0.0172232696504303,1.2692307692307692,0.6190476190476191,relief,NL,,0.0035457129417385594,20,4,2,16,20,10,13,7,7,5,13,5,9,10,12,11,12,3,9.944444444444445,8,45,61.611111111111114,cronide01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0175248185793558,6928.801469836938,7016.827358827161,6923.499270349051,7050.1363723237355,4281.031969976166,10350.624792351067,1203.232921116973,11205.604690001075,1279.2239170184675,11687.217462141518,7096.79202687543,16.433883906923835,9.979095251632556,1334.2044909283582,104,8.047619047619047,7876.216660573801,8014.1152562636,457300.8970092379,720595.3528630416,64.38095238095238
15,2024,Justin Martinez,ARI,58,66.2,84,2.43000037078863,58.07329592243534,2.661052568817127,68.1692476782807,-0.2310521980284963,90.16754766843738,24.145155767031383,85.09457500911269,98.9985150607122,133.85848698069583,148.45527919241542,0.17793594,0.81142657995224,1.1907660961151123,-0.6706456744980894,8,1.0,19,11,1.219240665435791,679885,2020s,0.0184175327105104,1.1413793103448275,0.6333333333333333,relief,NL,,1.1309140352090902e-05,5,6,3,12,8,18,22,6,6,4,4,10,6,15,9,7,11,18,9.444444444444445,7,36,55.72222222222222,martiju01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,1,0.0122571990929341,3958.8128932305835,5969.0916556505545,8861.431838122064,3844.45219006522,4512.804196302182,19871.999056993503,3584.4758405390035,7773.603526159407,3232.034018888043,5749.170061002411,6748.654292955692,10.3333264988567,12.129759164727693,2390.334566845698,209,12.033333333333333,4826.745666278246,3212.2860066249245,262073.41353186464,827391.8946851919,132.36666666666667
16,2024,Justin Slaten,BOS,40,51.1,53,3.155844468534838,73.53031420592015,2.761961697012077,66.095051191284,0.3938827715227613,212.80941065417355,60.3299855772321,90.83524159391312,79.31461034272724,113.63863746089022,53.399256295256514,0.21359223,0.8451899290084839,0.9520934820175172,-0.2222563558639135,1,3.0,21,7,1.2758558988571167,686580,2020s,0.0249678258093369,1.2775,0.75,relief,AL,,4.7957071982406033e-05,7,5,10,6,12,1,8,5,4,15,9,9,7,1,4,5,5,12,6.944444444444445,6,22,40.666666666666664,slateju01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.016539920332847,4859.98988155149,10874.560884428269,5806.93437425149,3757.39905592252,3377.4571158746126,6068.218726817815,3221.576362127746,8355.884718431906,6855.817359031815,5832.028219620857,5242.3032308193,15.705503783843163,14.117389375910506,4785.049298040518,147,15.75,6200.646758763368,4107.614502970454,248345.48294728113,714418.512588069,110.25
17,2024,Orion Kerkering,PHI,57,56.2,68,2.0647061140067287,50.01678104972258,2.2357584240527184,54.4712064293217,-0.1710523100459897,190.90418516812068,28.40606446092518,88.01648273529106,79.47285317093623,133.5509592653188,69.95705985212037,0.24122807,1.149825930595398,1.389120101928711,-0.4580843643319653,0,2.0,15,8,1.452916979789734,689147,2020s,0.0258526152987497,0.9859649122807018,0.6521739130434783,relief,NL,,4.899541884374371e-05,4,3,4,7,9,5,13,4,3,11,5,6,5,3,3,9,10,13,6.5,5,16,35.611111111111114,kerkeor01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0204595361315907,2724.474405489624,10728.815206448382,7505.563910710916,2810.9430949944094,3061.2818013278793,9342.832450631997,1987.204751656132,6679.78908855387,3793.6571577090385,3974.9762964474685,4328.982190601241,12.065451560237152,13.139983997516863,2257.510990067257,120,9.782608695652174,3958.435124738416,3132.6713186754505,153115.4615885169,326936.9286587549,78.26086956521739
18,2024,Bryan Hudson,MIL,43,62.1,62,1.7326204622336372,42.00936218668242,3.604207762195372,87.99752774597917,-1.8715872999617351,133.10447512612217,90.38292961002756,54.246704261919255,56.054518546409874,120.18566065668988,90.29422773553156,0.1948052,2.702282190322876,1.7305442094802856,0.4413679297956641,0,3.0,26,6,0.759703516960144,663542,2020s,0.0122335509977478,1.444186046511628,0.8125,relief,NL,,0.0020340509598725473,2,11,17,1,1,8,5,8,8,7,7,3,4,6,5,3,4,5,5.833333333333333,4,13,33.27777777777778,hudsobr01,Rookie of the Year,2024.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0435150111163104,3696.720014613474,8265.787905332187,7463.529526780441,2608.781391792978,5464.6464730253065,10852.071413880472,8161.056829612347,5048.922948172592,10862.732107268259,2354.814571816239,4932.659051075207,8.183642202649105,17.142375992061023,5066.371604104148,156,21.125,2808.4111963188116,9989.580658100112,229566.31290749676,576688.3222797019,126.75
19,2024,Hunter Gaddis,CLE,72,68.2,63,1.441747786401217,35.90481181204013,2.836101140705367,69.11375286822405,-1.3943533543041502,162.61851193952782,45.101059391778264,65.5638523509487,59.29344947586195,109.12336190077043,67.10390166640087,0.19215686,2.693014621734619,2.4545810222625732,-0.5314522226165754,0,4.0,35,6,1.5074145793914795,683769,2020s,0.0221028530702562,0.9472222222222224,0.8536585365853658,relief,AL,,0.0018101731593435403,1,7,5,2,3,3,5,3,5,2,10,4,1,5,6,1,2,14,4.388888888888889,3,9,23.61111111111111,gaddihu01,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0394870179139973,2481.5162903574333,11090.582514275799,7442.213281632544,2448.708165581137,4713.557945612881,7322.603346496375,3026.457054476394,3918.053773344312,4921.579226117161,2128.9201451175327,4097.992813779252,6.899355896692542,13.280681733973928,2674.1973863542535,210,29.878048780487806,3740.6738350822548,6682.759654005218,169239.41100237696,521118.42097506096,179.2682926829268
20,2024,Mason Miller,OAK,49,58.2,93,2.3011364633879428,58.95865766915001,1.9096889555946832,47.10876115792681,0.3914475077932595,176.8832936848053,52.78873443793921,64.08718900971111,68.03949037442737,183.3801396223672,103.67296110586402,0.33035714,3.3997435569763184,1.8752087354660032,-0.0268144319634728,25,2.0,26,4,2.398099184036255,695243,2020s,0.0412044533339562,1.1877551020408164,0.8666666666666667,closer,AL,,0.003428481171676146,6,2,7,3,2,11,2,2,1,10,1,1,3,4,1,3,1,9,3.8333333333333335,2,5,18.666666666666668,millema03,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0584148377487339,2777.4693223279573,10294.60769245567,10672.724126021772,3431.393876344531,2741.7298993913405,19011.56208265759,5472.7644122122565,10811.84687531608,9680.405491717356,4011.5170209692906,3205.256101355959,19.47741352581946,15.562715605075788,3591.718588668368,104,22.533333333333335,6660.6469155604045,9442.683433283853,161648.71455948713,288856.8095221076,90.13333333333334
21,2024,Cade Smith,CLE,71,72.0,98,2.0000004238553415,49.80735154917239,1.4627189512605254,34.831736238323145,0.5372814725948161,208.32175384441857,10.753262531611568,80.40862825920324,73.18026420602529,156.2657047851896,75.01171148625642,0.29241877,2.809142589569092,2.1932451725006104,0.2549941941370317,1,2.0,31,7,2.5592710971832275,671922,2020s,0.0355454319053226,1.0140845070422535,0.8157894736842105,relief,AL,,0.947817665553967,3,1,1,4,6,6,8,1,2,1,2,2,2,2,2,2,3,8,3.111111111111111,1,2,13.666666666666666,smithca06,Rookie of the Year,2024.0,AL,0.0,0.0,0.0,0.0,0.0,1,0.0390158692995707,1734.8765318902083,14999.166276798136,11251.130744533652,3586.129311540412,2507.8850091592667,11721.75796254316,806.6206265572182,7783.180893315128,1680.3661482424538,3644.915145770818,2548.995660675073,14.564604476966585,10.185453467774881,786.9265931400869,217,25.289473684210527,4440.019365248086,4873.515553376705,124911.110296095,376468.2074201752,177.02631578947367
